 Name:, Ksenia, Burova, CS420 ,,,,,,,,,,,,,,,,
 Number of experiments:,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
 Experiment #,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Combination 1,,,,,,,,,,,,,,,,,,,
J1=1.0,J2=0.0,H=-1,R1=1,R2=15,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Distance(L), Correlation(p), Joint Entropy(H_l), MutualInfo(I_l),,,,,,,,,,,,,,,,
 Experiment #,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Combination 1,,,,,,,,,,,,,,,,,,,
J1=0.0,J2=-0.1,H=0,R1=1,R2=2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Distance(L), Correlation(p), Joint Entropy(H_l), MutualInfo(I_l),,,,,,,,,,,,,,,,
1,0.766225926,0.430956952,0.951887176,,,,,,,,,,,,,,,,
2,0.581551852,1.057282233,0.325561894,,,,,,,,,,,,,,,,
3,0.408077778,0.808809421,0.574034706,,,,,,,,,,,,,,,,
4,0.260857407,1.092691072,0.290153055,,,,,,,,,,,,,,,,
5,0.146448148,0.975382149,0.407461978,,,,,,,,,,,,,,,,
6,0.058496296,1.055609349,0.327234778,,,,,,,,,,,,,,,,
7,0.022337037,1.038829187,0.34401494,,,,,,,,,,,,,,,,
8,0.045462037,1.020253306,0.362590822,,,,,,,,,,,,,,,,
9,0.067045679,1.058180392,0.324663735,,,,,,,,,,,,,,,,
10,0.073114815,1.009291909,0.373552218,,,,,,,,,,,,,,,,
11,0.068319529,1.058616026,0.324228102,,,,,,,,,,,,,,,,
12,0.057012963,1.015719453,0.367124674,,,,,,,,,,,,,,,,
13,0.048389459,1.050303401,0.332540726,,,,,,,,,,,,,,,,
14,0.041860847,1.028905954,0.353938173,,,,,,,,,,,,,,,,
Entropy(H):,0.691422064,Lambda:,8.5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Combination 2,,,,,,,,,,,,,,,,,,,
J1=0.0,J2=-0.1,H=-2,R1=1,R2=4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Distance(L), Correlation(p), Joint Entropy(H_l), MutualInfo(I_l),,,,,,,,,,,,,,,,
1,0.031804938,0.727467357,0.218606005,,,,,,,,,,,,,,,,
2,0.053749383,0.71725751,0.228815852,,,,,,,,,,,,,,,,
3,0.121804938,0.667452504,0.278620858,,,,,,,,,,,,,,,,
4,0.106111728,0.762685769,0.183387593,,,,,,,,,,,,,,,,
5,0.024306173,0.747993671,0.198079692,,,,,,,,,,,,,,,,
6,0.013997531,0.743224866,0.202848496,,,,,,,,,,,,,,,,
7,0.0587097,0.714509504,0.231563858,,,,,,,,,,,,,,,,
8,0.013819444,0.742049598,0.204023765,,,,,,,,,,,,,,,,
9,0.016219753,0.745562635,0.200510727,,,,,,,,,,,,,,,,
10,0.01862716,0.744523151,0.201550211,,,,,,,,,,,,,,,,
11,0.010634119,0.737032389,0.209040973,,,,,,,,,,,,,,,,
12,0.009876543,0.736945887,0.209127475,,,,,,,,,,,,,,,,
13,0.012008547,0.742074228,0.203999134,,,,,,,,,,,,,,,,
14,0.007880776,0.740080937,0.205992425,,,,,,,,,,,,,,,,
Entropy(H):,0.473036681,Lambda:,12.5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Combination 3,,,,,,,,,,,,,,,,,,,
J1=0.0,J2=-0.1,H=-1,R1=1,R2=4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Distance(L), Correlation(p), Joint Entropy(H_l), MutualInfo(I_l),,,,,,,,,,,,,,,,
1,0.18977284,0.89922457,0.411900041,,,,,,,,,,,,,,,,
2,0.107348148,1.011802334,0.299322277,,,,,,,,,,,,,,,,
3,0.368476543,0.773009479,0.538115133,,,,,,,,,,,,,,,,
4,0.303560494,1.040524067,0.270600544,,,,,,,,,,,,,,,,
