Project 4, CS420,
 Artificial, Neural Nets,
Completed by:, Ksenia Burova,
,,
Epoch #, RMSE,
0,0.19942085,
100,0.181889932,
200,0.179874874,
300,0.179055527,
400,0.176440997,
500,0.111444373,
600,0.062646843,
700,0.052875048,
800,0.048809435,
900,0.046166092,
1000,0.044446714,
1100,0.042840908,
1200,0.040935454,
1300,0.038831676,
1400,0.036750286,
1500,0.034731389,
1600,0.032738161,
1700,0.030860828,
1800,0.029233811,
1900,0.027894409,
2000,0.026824494,
2100,0.025978602,
2200,0.025312299,
2300,0.024795329,
2400,0.02440118,
2500,0.024098443,
2600,0.023851187,
2700,0.023626824,
2800,0.023403802,
2900,0.023172817,
3000,0.022932934,
3100,0.022687188,
3200,0.022439846,
3300,0.022195114,
3400,0.021956547,
3500,0.021726752,
3600,0.021507302,
3700,0.021298819,
3800,0.021101171,
3900,0.020913694,
4000,0.020735395,
4100,0.020565107,
4200,0.02040158,
4300,0.020243542,
4400,0.020089718,
4500,0.01993883,
4600,0.019789594,
4700,0.019640735,
4800,0.019491028,
4900,0.01933942,
5000,0.019185233,
5100,0.019028396,
5200,0.018869588,
5300,0.018710134,
5400,0.018551587,
5500,0.018395204,
5600,0.018241552,
5700,0.018090394,
5800,0.017940758,
5900,0.017791082,
6000,0.017639425,
6100,0.017483865,
6200,0.017323225,
6300,0.017157892,
6400,0.016990085,
6500,0.016823212,
6600,0.016660784,
6700,0.016505616,
6800,0.01635957,
6900,0.016223677,
7000,0.016098365,
7100,0.01598365,
7200,0.015879236,
7300,0.015784532,
7400,0.015698655,
7500,0.015620447,
7600,0.01554856,
7700,0.015481587,
7800,0.015418209,
7900,0.015357326,
8000,0.015298119,
8100,0.015240065,
8200,0.015182897,
8300,0.015126549,
8400,0.015071092,
8500,0.01501668,
8600,0.014963505,
8700,0.014911765,
8800,0.014861649,
8900,0.014813319,
9000,0.014766909,
9100,0.014722522,
9200,0.01468023,
9300,0.014640078,
9400,0.014602083,
9500,0.014566242,
9600,0.014532532,
9700,0.014500914,
9800,0.014471332,
9900,0.014443721,
10000,0.014418006,
10100,0.014394103,
10200,0.014371922,
10300,0.014351367,
10400,0.014332341,
10500,0.014314742,
10600,0.014298466,
10700,0.014283412,
10800,0.014269475,
10900,0.014256553,
11000,0.014244544,
11100,0.014233349,
11200,0.014222871,
11300,0.014213017,
11400,0.014203695,
11500,0.014194818,
11600,0.014186304,
11700,0.014178075,
11800,0.014170056,
11900,0.014162178,
12000,0.014154378,
12100,0.014146596,
12200,0.014138779,
12300,0.014130878,
12400,0.014122849,
12500,0.014114653,
12600,0.014106255,
12700,0.014097623,
12800,0.01408873,
12900,0.014079552,
13000,0.014070067,
13100,0.014060254,
13200,0.014050096,
13300,0.014039575,
13400,0.014028675,
13500,0.014017378,
13600,0.014005668,
13700,0.013993525,
13800,0.01398093,
13900,0.013967859,
14000,0.013954288,
14100,0.013940188,
14200,0.013925525,
14300,0.013910262,
14400,0.013894357,
14500,0.013877761,
14600,0.013860422,
14700,0.013842281,
14800,0.013823273,
14900,0.013803329,
15000,0.013782376,
15100,0.013760337,
15200,0.013737131,
15300,0.013712678,
15400,0.013686898,
15500,0.013659717,
15600,0.013631066,
15700,0.013600885,
15800,0.013569132,
15900,0.013535786,
16000,0.013500852,
16100,0.013464367,
16200,0.013426412,
16300,0.013387108,
16400,0.013346627,
16500,0.013305191,
16600,0.013263062,
16700,0.01322054,
16800,0.013177948,
16900,0.013135614,
17000,0.013093855,
17100,0.013052963,
17200,0.013013186,
17300,0.012974725,
17400,0.012937727,
17500,0.012902286,
17600,0.01286845,
17700,0.012836225,
17800,0.012805587,
17900,0.012776486,
18000,0.012748861,
18100,0.012722639,
18200,0.012697743,
18300,0.0126741,
18400,0.012651638,
18500,0.012630288,
18600,0.012609987,
18700,0.012590678,
18800,0.012572305,
18900,0.012554815,
19000,0.012538157,
19100,0.012522278,
19200,0.012507122,
19300,0.012492629,
19400,0.012478735,
19500,0.012465367,
19600,0.012452447,
19700,0.012439891,
19800,0.012427604,
19900,0.012415491,
20000,0.012403449,
20100,0.012391377,
20200,0.012379175,
20300,0.012366749,
20400,0.012354013,
20500,0.012340894,
20600,0.012327332,
20700,0.012313285,
20800,0.012298727,
20900,0.012283646,
21000,0.012268049,
21100,0.012251953,
21200,0.012235389,
21300,0.012218392,
21400,0.012201007,
21500,0.012183279,
21600,0.012165257,
21700,0.012146988,
21800,0.012128518,
21900,0.01210989,
22000,0.012091144,
22100,0.012072318,
22200,0.012053445,
22300,0.012034555,
22400,0.012015674,
22500,0.011996826,
22600,0.011978031,
22700,0.011959308,
22800,0.011940672,
22900,0.011922137,
23000,0.011903714,
23100,0.011885414,
23200,0.011867244,
23300,0.011849212,
23400,0.011831324,
23500,0.011813585,
23600,0.011795998,
23700,0.011778568,
23800,0.011761297,
23900,0.011744186,
24000,0.011727236,
24100,0.01171045,
24200,0.011693826,
24300,0.011677365,
24400,0.011661067,
24500,0.01164493,
24600,0.011628955,
24700,0.011613139,
24800,0.011597481,
24900,0.01158198,
25000,0.011566634,
25100,0.011551441,
25200,0.011536399,
25300,0.011521506,
25400,0.011506759,
25500,0.011492157,
25600,0.011477698,
25700,0.011463378,
25800,0.011449196,
25900,0.011435149,
26000,0.011421235,
26100,0.011407451,
26200,0.011393796,
26300,0.011380266,
26400,0.011366859,
26500,0.011353573,
26600,0.011340407,
26700,0.011327356,
26800,0.01131442,
26900,0.011301596,
27000,0.011288882,
27100,0.011276275,
27200,0.011263775,
27300,0.011251378,
27400,0.011239083,
27500,0.011226887,
27600,0.01121479,
27700,0.011202789,
27800,0.011190882,
27900,0.011179067,
28000,0.011167344,
28100,0.01115571,
28200,0.011144163,
28300,0.011132703,
28400,0.011121327,
28500,0.011110035,
28600,0.011098824,
28700,0.011087693,
28800,0.011076642,
28900,0.011065668,
29000,0.011054771,
29100,0.011043949,
29200,0.011033201,
29300,0.011022526,
29400,0.011011923,
29500,0.011001391,
29600,0.010990928,
29700,0.010980534,
29800,0.010970208,
29900,0.010959949,
30000,0.010949756,
30100,0.010939627,
30200,0.010929563,
30300,0.010919562,
30400,0.010909624,
30500,0.010899748,
30600,0.010889932,
30700,0.010880177,
30800,0.010870481,
30900,0.010860844,
31000,0.010851265,
31100,0.010841744,
31200,0.010832279,
31300,0.010822871,
31400,0.010813518,
31500,0.010804221,
31600,0.010794978,
31700,0.010785789,
31800,0.010776653,
31900,0.01076757,
32000,0.01075854,
32100,0.010749561,
32200,0.010740634,
32300,0.010731758,
32400,0.010722932,
32500,0.010714157,
32600,0.01070543,
32700,0.010696753,
32800,0.010688125,
32900,0.010679545,
33000,0.010671013,
33100,0.010662528,
33200,0.010654091,
33300,0.0106457,
33400,0.010637356,
33500,0.010629057,
33600,0.010620804,
33700,0.010612597,
33800,0.010604435,
33900,0.010596317,
34000,0.010588243,
34100,0.010580214,
34200,0.010572228,
34300,0.010564286,
34400,0.010556386,
34500,0.010548529,
34600,0.010540715,
34700,0.010532943,
34800,0.010525213,
34900,0.010517524,
35000,0.010509876,
35100,0.01050227,
35200,0.010494704,
35300,0.010487179,
35400,0.010479694,
35500,0.010472249,
35600,0.010464843,
35700,0.010457477,
35800,0.01045015,
35900,0.010442862,
36000,0.010435613,
36100,0.010428402,
36200,0.010421229,
36300,0.010414094,
36400,0.010406997,
36500,0.010399937,
36600,0.010392914,
36700,0.010385928,
36800,0.01037898,
36900,0.010372067,
37000,0.010365191,
37100,0.010358351,
37200,0.010351547,
37300,0.010344778,
37400,0.010338045,
37500,0.010331347,
37600,0.010324684,
37700,0.010318056,
37800,0.010311462,
37900,0.010304902,
38000,0.010298377,
38100,0.010291886,
38200,0.010285428,
38300,0.010279004,
38400,0.010272613,
38500,0.010266255,
38600,0.01025993,
38700,0.010253638,
38800,0.010247378,
38900,0.010241151,
39000,0.010234956,
39100,0.010228792,
39200,0.010222661,
39300,0.01021656,
39400,0.010210492,
39500,0.010204454,
39600,0.010198447,
39700,0.010192472,
39800,0.010186526,
39900,0.010180612,
40000,0.010174727,
40100,0.010168872,
40200,0.010163048,
40300,0.010157253,
40400,0.010151487,
40500,0.010145751,
40600,0.010140044,
40700,0.010134366,
40800,0.010128717,
40900,0.010123096,
41000,0.010117504,
41100,0.010111941,
41200,0.010106405,
41300,0.010100897,
41400,0.010095417,
