Project 4, CS420
 Artificial, Neural Nets
Completed by:, Ksenia Burova


Epoch #, RMSE
0,0.2073110333702801
100,0.18099503999936567
200,0.18019460058421355
300,0.17999256913581457
400,0.17989793762964318
500,0.1799384042011923
600,0.18011448145027142
700,0.17945131553984517
800,0.17159514881981094
900,0.05425734608381209
1000,0.048632118882703336
1100,0.048720433687667805
1200,0.04913103311821729
1300,0.04885016109153874
1400,0.04784029178723703
1500,0.04618020837933614
1600,0.044043870513164315
1700,0.041884973874497175
1800,0.040117984692445735
1900,0.03880986693419386
2000,0.037788746070243934
2100,0.03687632981929823
2200,0.03597584423138283
2300,0.035064926724136296
2400,0.034192441914632506
2500,0.03345458140742859
2600,0.03289660897836261
2700,0.032468047176932184
2800,0.032088680442351004
2900,0.031705982136750806
3000,0.03130012879026765
3100,0.030870239960098144
3200,0.030423422564637762
3300,0.029969282359085907
3400,0.0295176362223421
3500,0.02907757767703329
3600,0.028657033143941326
3700,0.028262529562854435
3800,0.027899119044369074
3900,0.02757045113417895
4000,0.0272789856355267
4100,0.027026369386558363
4200,0.02681406775611189
4300,0.02664441192653011
4400,0.026522221114520617
4500,0.026456901345237243
4600,0.026464032514124262
4700,0.026563754612675055
4800,0.026772430673044977
4900,0.02708833020159227
5000,0.02748109218649408
5100,0.027896404376959567
5200,0.028274767422729385
5300,0.028570737523842694
5400,0.028760769157898956
5500,0.028838760659611506
5600,0.028805858050078348
5700,0.028661022080028294
5800,0.028395809611607214
5900,0.027994388344682073
6000,0.02743845207695073
6100,0.026716255716994215
6200,0.02583437829055151
6300,0.02482738259492284
6400,0.023756594518049675
6500,0.022694477209802968
6600,0.021703904667030142
6700,0.020825179285935996
6800,0.020074692334248027
6900,0.019450844758383445
7000,0.018941619147361668
7100,0.018530659570478485
7200,0.018201082968608912
7300,0.01793741926778147
7400,0.017726357096655248
7500,0.017556852507292775
7600,0.017419951741169153
7700,0.01730851379124705
7800,0.017216918141865302
7900,0.01714079217335435
8000,0.017076770234436534
8100,0.017022287281239418
8200,0.016975406224435236
8300,0.01693467632150305
8400,0.016899018986216794
8500,0.016867636978499464
8600,0.016839942974868603
8700,0.016815503871724875
8800,0.01679399768808369
8900,0.016775180481361538
9000,0.016758861189672798
9100,0.01674488273596143
9200,0.01673310807355915
9300,0.016723410132026162
9400,0.016715664848476395
9500,0.01670974665041771
9600,0.01670552589498676
9700,0.01670286786906375
9800,0.016701633019584213
9900,0.016701678120714204
10000,0.01670285810417601
10100,0.01670502829164262
10200,0.016708046783399648
10300,0.01671177678225714
10400,0.01671608866874689
10500,0.016720861691630208
10600,0.01672598519198943
10700,0.01673135933337083
10800,0.016736895358286007
10900,0.016742515428150664
11000,0.016748152127050196
11100,0.0167537477196515
11200,0.01675925325213722
11300,0.016764627575326017
11400,0.016769836354631088
11500,0.016774851115238316
11600,0.01677964835521525
11700,0.01678420874568242
11800,0.016788516426392612
11900,0.016792558397189693
12000,0.016796324000595345
12100,0.01679980448768039
12200,0.016802992657942148
12300,0.016805882563577384
12400,0.016808469268922214
12500,0.016810748656614617
12600,0.016812717272964715
12700,0.016814372205997397
12800,0.016815710990539672
12900,0.016816731535540093
13000,0.01681743206952579
13100,0.016817811100707722
13200,0.016817867388778468
13300,0.016817599925886773
13400,0.016817007924685122
13500,0.016816090811677755
13600,0.016814848224415913
13700,0.016813280011353394
13800,0.016811386233430776
13900,0.016809167166649045
14000,0.016806623305102297
14100,0.016803755364075
14200,0.016800564282942212
14300,0.01679705122771343
14400,0.016793217593130228
14500,0.016789065004278673
14600,0.016784595317711558
14700,0.016779810622084643
14800,0.01677471323830822
14900,0.01676930571921411
-----,testing network, ----
Expected, Computed real, Is solved
0.500607,0.502374381544096,yes
0.89086,0.9476760370582011, no
0.228752,0.23936313524787314,yes
0.453343,0.471817284314742,yes
0.432709,0.4569922537607009,yes
0.785425,0.7775344049087677,yes
0.766554,0.7850324440534566,yes
0.866206,0.8928391350532864,yes
0.546951,0.562308433263512,yes
0.348117,0.3445803940439289,yes
0.526406,0.5521532064216793,yes
0.23416,0.2263294318379053,yes
0.141295,0.1012251815272151, no
0.310978,0.3284879129843909,yes
0.235798,0.24389680502333702,yes
0.400042,0.417608956071021,yes
0.482745,0.49833751632084083,yes
0.187194,0.1919961838954927,yes
0.692398,0.7149940809619967,yes
0.972145,0.9284205606203096, no
0.883005,0.8858693912891648,yes
0.422983,0.42198294283559307,yes
0.202254,0.2030579999087096,yes
0.616578,0.6325811202906756,yes
0.050615,0.06591778461626069,yes
0.280356,0.3170738232087037, no
0.623611,0.6186235334765027,yes
0.578388,0.5998873850095683,yes
0.34391,0.3598728596295797,yes
0.874598,0.8849861570659728,yes
0.025839,0.06277326581153249, no
0.493732,0.4974256330517336,yes
0.199344,0.19115811066862048,yes
0.858072,0.870356952816318,yes
0.628925,0.6338534592117954,yes
0.350675,0.35446163418717763,yes
0.501899,0.5039751089518986,yes
0.929958,0.930059171080335,yes
0.454126,0.4580849339123025,yes
0.35887,0.3467788139682655,yes
0.304436,0.3183320069964391,yes
0.938094,0.8951436315791471, no
0.182553,0.21126327559075234, no
0.289613,0.307652356934872,yes
0.211839,0.2156131724363267,yes
0.056373,0.0689205844697748,yes
0.980188,0.9477939574324903, no
0.730154,0.7476141004487431,yes
0.186552,0.15708676710472744, no
0.594873,0.6205808561194182,yes
Accuracy percentage: ,82.0%
