Project 4, CS420,
 Artificial, Neural Nets,
Completed by:, Ksenia Burova,
,,
Epoch #, RMSE,
0,0.122206167,
100,0.120168268,
200,0.059094971,
300,0.025904821,
400,0.021310185,
500,0.020859593,
600,0.021566947,
700,0.021338383,
800,0.020459429,
900,0.019587419,
1000,0.018967464,
1100,0.018566548,
1200,0.018292067,
1300,0.018071829,
1400,0.017862312,
1500,0.017638563,
1600,0.017388117,
1700,0.017111432,
1800,0.01682185,
1900,0.016538966,
2000,0.016278868,
2100,0.016049387,
2200,0.015851374,
2300,0.015681868,
2400,0.015536933,
2500,0.015413315,
2600,0.015308626,
2700,0.015220739,
2800,0.015147327,
2900,0.01508585,
3000,0.015033807,
3100,0.01498897,
3200,0.014949498,
3300,0.014913932,
3400,0.014881144,
3500,0.01485028,
3600,0.014820708,
3700,0.014791974,
3800,0.014763771,
3900,0.014735911,
4000,0.014708296,
4100,0.014680901,
4200,0.014653751,
4300,0.014626903,
4400,0.014600435,
4500,0.014574432,
4600,0.014548979,
4700,0.014524154,
4800,0.014500022,
4900,0.014476637,
5000,0.014454039,
5100,0.014432254,
5200,0.014411295,
5300,0.014391163,
5400,0.014371849,
5500,0.014353338,
5600,0.014335605,
5700,0.014318621,
5800,0.014302354,
5900,0.014286767,
6000,0.014271825,
6100,0.014257488,
6200,0.014243718,
6300,0.014230479,
6400,0.014217734,
6500,0.014205448,
6600,0.014193586,
6700,0.014182119,
6800,0.014171015,
6900,0.014160247,
7000,0.01414979,
7100,0.014139618,
7200,0.01412971,
7300,0.014120045,
7400,0.014110604,
7500,0.014101371,
7600,0.01409233,
7700,0.014083467,
7800,0.014074767,
7900,0.014066221,
8000,0.014057818,
8100,0.014049547,
8200,0.014041401,
8300,0.014033371,
8400,0.014025451,
8500,0.014017635,
8600,0.014009917,
8700,0.014002292,
8800,0.013994755,
8900,0.013987302,
9000,0.013979928,
9100,0.013972629,
9200,0.0139654,
9300,0.013958238,
9400,0.013951136,
9500,0.01394409,
9600,0.013937092,
9700,0.013930135,
9800,0.013923211,
9900,0.01391631,
-----,testing network, ----
Expected, Computed real, Is solved
0.464565,0.441934314,yes
0.225974,0.214994559,yes
0.12046,0.121395145,yes
0.183896,0.170169191,yes
0.082137,0.092105402,yes
0.478035,0.498353379,yes
0.869584,0.723752446, no
0.196212,0.18119322,yes
0.073998,0.090768718,yes
0.204899,0.189447203,yes
0.249749,0.240607716,yes
0.461517,0.522187962, no
0.450251,0.465351414,yes
0.369075,0.398396542, no
0.704661,0.695375178,yes
0.228005,0.214621977,yes
0.156466,0.162764473,yes
0.162567,0.153849688,yes
0.339018,0.362990808, no
0.452464,0.474758486,yes
0.155333,0.162046865,yes
0.570774,0.575898428,yes
0.22998,0.215601236,yes
0.408506,0.41213778,yes
0.071556,0.086359488,yes
0.249497,0.241916518,yes
0.163546,0.160798623,yes
0.481297,0.480009048,yes
0.21689,0.228042576,yes
0.02784,0.066156641, no
0.457675,0.478168669,yes
0.380137,0.380978191,yes
0.303373,0.310070411,yes
0.701904,0.666624029, no
0.312368,0.306661599,yes
0.06223,0.078308794,yes
0.339919,0.357918347,yes
0.25043,0.241086484,yes
0.110198,0.123492718,yes
0.147515,0.136899712,yes
0.53733,0.541499969,yes
0.154411,0.161569588,yes
0.092367,0.094386435,yes
0.378741,0.380181392,yes
0.291982,0.285120947,yes
0.357018,0.349105218,yes
0.323332,0.307762095,yes
0.071355,0.088515353,yes
0.249838,0.255852049,yes
0.453151,0.448650134,yes
Accuracy percentage: ,88.00%,
