Project 4, CS420,
 Artificial, Neural Nets,
Completed by:, Ksenia Burova,
,,
Epoch #, RMSE,
0,0.12142154,
100,0.12280636,
200,0.122742151,
300,0.077945217,
400,0.016003093,
500,0.014383953,
600,0.014090062,
700,0.014091119,
800,0.014230424,
900,0.014415743,
1000,0.014617421,
1100,0.014838518,
1200,0.015058373,
1300,0.01525094,
1400,0.015404995,
1500,0.015521398,
1600,0.015604761,
1700,0.015659612,
1800,0.015690272,
1900,0.015701445,
2000,0.015698109,
2100,0.015684874,
2200,0.015665415,
2300,0.015642217,
2400,0.015616585,
2500,0.015588748,
2600,0.015557959,
2700,0.015522578,
2800,0.015480188,
2900,0.015427834,
3000,0.015362476,
3100,0.015281645,
3200,0.015184141,
3300,0.015070435,
3400,0.014942568,
3500,0.014803727,
3600,0.014657954,
3700,0.014510222,
3800,0.014366419,
3900,0.014232474,
4000,0.014112701,
4100,0.014008616,
4200,0.013919277,
4300,0.013842636,
4400,0.013776724,
4500,0.013720106,
4600,0.013671809,
4700,0.013631083,
4800,0.013597234,
4900,0.013569545,
5000,0.013547274,
5100,0.013529681,
5200,0.013516057,
5300,0.013505751,
5400,0.013498184,
5500,0.013492854,
5600,0.013489335,
5700,0.013487268,
5800,0.013486361,
5900,0.01348637,
6000,0.013487098,
6100,0.013488383,
6200,0.013490094,
6300,0.013492121,
6400,0.013494374,
6500,0.013496776,
6600,0.013499262,
6700,0.013501774,
6800,0.013504265,
6900,0.013506688,
7000,0.013509003,
7100,0.013511175,
7200,0.01351317,
7300,0.013514959,
7400,0.013516513,
7500,0.01351781,
7600,0.013518829,
7700,0.013519552,
7800,0.013519965,
7900,0.013520058,
8000,0.013519824,
8100,0.01351926,
8200,0.013518365,
8300,0.013517144,
8400,0.013515603,
8500,0.013513751,
8600,0.013511599,
8700,0.013509161,
8800,0.013506451,
8900,0.013503484,
9000,0.013500275,
9100,0.013496838,
9200,0.013493187,
9300,0.013489335,
9400,0.013485291,
9500,0.013481066,
9600,0.013476667,
9700,0.013472099,
9800,0.013467367,
9900,0.013462474,
10000,0.01345742,
10100,0.013452207,
10200,0.013446834,
10300,0.0134413,
10400,0.013435604,
10500,0.013429744,
10600,0.013423719,
10700,0.013417528,
10800,0.013411169,
10900,0.013404642,
11000,0.013397949,
11100,0.013391089,
11200,0.013384066,
11300,0.013376883,
11400,0.013369544,
11500,0.013362057,
11600,0.013354428,
11700,0.013346668,
11800,0.013338787,
11900,0.013330799,
12000,0.013322716,
12100,0.013314556,
12200,0.013306335,
12300,0.01329807,
12400,0.013289779,
12500,0.013281481,
12600,0.013273192,
12700,0.01326493,
12800,0.013256709,
12900,0.013248543,
13000,0.013240445,
13100,0.013232426,
13200,0.013224492,
13300,0.013216653,
13400,0.013208912,
13500,0.013201274,
13600,0.013193741,
13700,0.013186317,
13800,0.013179001,
13900,0.013171794,
14000,0.013164694,
14100,0.0131577,
14200,0.013150809,
14300,0.013144016,
14400,0.013137317,
14500,0.013130703,
14600,0.013124168,
14700,0.0131177,
14800,0.013111288,
14900,0.013104919,
15000,0.013098578,
15100,0.013092248,
15200,0.013085913,
15300,0.013079552,
15400,0.013073147,
15500,0.013066676,
15600,0.013060117,
15700,0.013053449,
15800,0.013046647,
15900,0.013039689,
16000,0.013032553,
16100,0.013025214,
16200,0.013017649,
16300,0.013009837,
16400,0.013001754,
16500,0.012993378,
16600,0.012984687,
16700,0.012975661,
16800,0.012966277,
16900,0.012956516,
17000,0.012946357,
17100,0.01293578,
17200,0.012924765,
17300,0.012913293,
17400,0.012901345,
17500,0.012888901,
17600,0.012875944,
17700,0.012862454,
17800,0.012848413,
17900,0.012833804,
18000,0.012818607,
18100,0.012802805,
18200,0.01278638,
18300,0.012769316,
18400,0.012751594,
18500,0.012733197,
18600,0.012714108,
18700,0.012694311,
18800,0.012673787,
18900,0.012652521,
19000,0.012630495,
19100,0.012607693,
19200,0.012584097,
19300,0.012559691,
19400,0.012534459,
19500,0.012508384,
19600,0.012481451,
19700,0.012453644,
19800,0.01242495,
19900,0.012395355,
20000,0.012364848,
20100,0.012333419,
20200,0.012301061,
20300,0.01226777,
20400,0.012233545,
20500,0.01219839,
20600,0.012162313,
20700,0.012125329,
20800,0.012087458,
20900,0.012048727,
21000,0.012009171,
21100,0.011968832,
21200,0.011927758,
21300,0.011886006,
21400,0.011843639,
21500,0.011800724,
21600,0.011757333,
21700,0.011713537,
21800,0.011669408,
21900,0.011625011,
22000,0.011580406,
22100,0.011535635,
22200,0.011490729,
22300,0.011445694,
22400,0.011400512,
22500,0.011355136,
22600,0.011309486,
22700,0.011263454,
22800,0.011216899,
22900,0.01116966,
23000,0.011121559,
23100,0.011072418,
23200,0.011022073,
23300,0.010970391,
23400,0.010917281,
23500,0.010862713,
23600,0.010806715,
23700,0.010749378,
23800,0.010690851,
23900,0.01063133,
24000,0.010571044,
24100,0.010510246,
24200,0.010449199,
24300,0.010388165,
24400,0.010327399,
24500,0.010267135,
24600,0.010207589,
24700,0.010148947,
24800,0.010091371,
24900,0.010034989,
25000,0.009979904,
25100,0.009926189,
25200,0.009873892,
25300,0.009823041,
25400,0.009773642,
25500,0.009725689,
25600,0.009679163,
25700,0.009634036,
25800,0.009590275,
25900,0.009547841,
26000,0.009506694,
26100,0.009466795,
26200,0.009428101,
26300,0.009390572,
26400,0.009354167,
26500,0.009318848,
26600,0.009284577,
26700,0.009251314,
26800,0.009219025,
26900,0.009187673,
27000,0.009157223,
27100,0.009127642,
27200,0.009098895,
27300,0.00907095,
27400,0.009043776,
27500,0.009017341,
27600,0.008991615,
27700,0.00896657,
27800,0.008942176,
27900,0.008918407,
28000,0.008895236,
28100,0.008872639,
28200,0.008850591,
28300,0.00882907,
28400,0.008808053,
28500,0.008787521,
28600,0.008767453,
28700,0.00874783,
28800,0.008728635,
28900,0.008709849,
29000,0.008691456,
29100,0.008673438,
29200,0.00865578,
29300,0.008638463,
29400,0.00862147,
29500,0.008604783,
29600,0.008588384,
29700,0.008572252,
29800,0.008556365,
29900,0.008540702,
30000,0.00852524,
30100,0.008509952,
30200,0.008494813,
30300,0.008479796,
30400,0.008464873,
30500,0.008450015,
30600,0.008435194,
30700,0.00842038,
30800,0.008405545,
30900,0.008390662,
31000,0.008375704,
31100,0.008360647,
31200,0.008345469,
31300,0.008330151,
31400,0.008314676,
31500,0.008299032,
31600,0.00828321,
31700,0.008267208,
31800,0.008251027,
31900,0.008234673,
32000,0.008218158,
32100,0.008201502,
32200,0.008184726,
32300,0.008167861,
32400,0.008150939,
32500,0.008133999,
32600,0.008117084,
32700,0.008100238,
32800,0.008083508,
32900,0.008066942,
33000,0.008050585,
33100,0.008034482,
33200,0.008018674,
33300,0.008003198,
33400,0.007988084,
33500,0.007973356,
33600,0.007959034,
33700,0.007945128,
33800,0.007931643,
33900,0.007918575,
34000,0.007905917,
34100,0.007893656,
34200,0.007881774,
34300,0.007870248,
34400,0.007859056,
34500,0.00784817,
34600,0.007837565,
34700,0.007827214,
34800,0.007817089,
34900,0.007807164,
35000,0.007797416,
35100,0.007787821,
35200,0.007778359,
35300,0.007769009,
35400,0.007759756,
35500,0.007750584,
35600,0.007741479,
35700,0.007732431,
35800,0.007723431,
35900,0.007714469,
36000,0.007705541,
36100,0.007696641,
36200,0.007687766,
36300,0.007678913,
36400,0.007670081,
36500,0.007661268,
36600,0.007652476,
36700,0.007643703,
36800,0.007634953,
36900,0.007626225,
37000,0.007617522,
37100,0.007608846,
37200,0.0076002,
37300,0.007591585,
37400,0.007583004,
37500,0.00757446,
37600,0.007565956,
37700,0.007557493,
37800,0.007549074,
37900,0.007540703,
38000,0.00753238,
38100,0.007524108,
38200,0.00751589,
38300,0.007507727,
38400,0.007499622,
38500,0.007491575,
38600,0.007483589,
38700,0.007475665,
38800,0.007467804,
38900,0.007460008,
39000,0.007452277,
39100,0.007444613,
39200,0.007437016,
39300,0.007429488,
39400,0.007422028,
39500,0.007414637,
39600,0.007407316,
39700,0.007400064,
39800,0.007392883,
39900,0.007385772,
40000,0.007378732,
40100,0.007371761,
40200,0.007364861,
40300,0.007358031,
40400,0.00735127,
40500,0.007344579,
40600,0.007337957,
40700,0.007331403,
40800,0.007324918,
40900,0.007318501,
41000,0.007312151,
41100,0.007305868,
41200,0.007299651,
41300,0.007293499,
41400,0.007287412,
