Project 4, CS420
 Artificial, Neural Nets
Completed by:, Ksenia Burova


Epoch #, RMSE
0,0.35358750867294864
100,0.35367501180213246
200,0.3537078751610815
300,0.35373124568234926
400,0.3537477859240259
500,0.35375967394020513
600,0.3537684157589115
700,0.35377500179008603
800,0.353780079531213
900,0.3537840774923923
1000,0.353787284795373
1100,0.3537899007688214
1200,0.3537920658351806
1300,0.3537938809805322
1400,0.3537954202422956
1500,0.35379673887395946
1600,0.35379787878820157
1700,0.3537988722549423
1800,0.3537997444595701
1900,0.3538005153030764
2000,0.3538012006891989
2100,0.35380181345865647
2200,0.3538023640768069
2300,0.3538028611464549
2400,0.3538033117949315
2500,0.3538037219695538
2600,0.35380409666544804
2700,0.353804440102834
2800,0.3538047558660594
2900,0.3538050470133397
3000,0.3538053161637484
3100,0.353805565566282
3200,0.35380579715455146
3300,0.3538060125896658
3400,0.35380621329312223
3500,0.3538064004708785
3600,0.3538065751291812
3700,0.35380673808215896
3800,0.3538068899505046
3900,0.35380703114973455
4000,0.3538071618653198
4100,0.3538072820102968
4200,0.35380739115823345
4300,0.35380748844016663
4400,0.3538075723869435
4500,0.35380764068617293
4600,0.3538076898014155
4700,0.35380771436196873
4800,0.35380770615761525
4900,0.35380765242787254
5000,0.3538075328391248
5100,0.35380731390660836
5200,0.35380693816941167
5300,0.35380630189727447
5400,0.35380520578633845
5500,0.35380323593234947
5600,0.35379944277133274
5700,0.3537913383522103
5800,0.35377104361721345
5900,0.35370464182180883
6000,0.35330306736855543
6100,0.06699621317300453
6200,0.019757990340158148
6300,0.014011956962460152
6400,0.011419261477258172
6500,0.009870119407405092
6600,0.008813614106363572
6700,0.008034802164048208
6800,0.0074304214122135745
6900,0.006943955824603631
7000,0.00654155724269828
7100,0.00620156448797954
7200,0.005909391512783104
7300,0.005654811756223268
7400,0.0054304158262643825
7500,0.005230687186610181
7600,0.005051423149525737
7700,0.004889358463689835
7800,0.004741912757625116
7900,0.00460701640950981
8000,0.004482987609256546
8100,0.004368443734905132
8200,0.00426223627456501
8300,0.004163402244041249
8400,0.004071127377992038
8500,0.0039847178660439905
8600,0.003903578385239401
8700,0.003827194836220469
8800,0.0037551206378384576
8900,0.003686965744950502
9000,0.0036223877724385393
9100,0.0035610847642971698
9200,0.0035027892593151983
9300,0.0034472633873412735
9400,0.003394294791151946
9500,0.003343693214580069
9600,0.0032952876320059897
9700,0.0032489238205774787
9800,0.0032044622966773337
9900,0.003161776553791
-----,testing network, ----
Expected, Computed real, Is solved
1.0,0.9949148563682385,yes
0.0,0.0032314536466926487,yes
0.0,0.0038667076485060024,yes
1.0,0.9949148563682385,yes
1.0,0.9948911083386213,yes
0.0,0.0032314536466926487,yes
1.0,0.9948911083386213,yes
0.0,0.0038667076485060024,yes
1.0,0.9949148563682385,yes
1.0,0.9949148563682385,yes
0.0,0.0038667076485060024,yes
0.0,0.0032314536466926487,yes
0.0,0.0038667076485060024,yes
1.0,0.9949148563682385,yes
1.0,0.9948911083386213,yes
1.0,0.9948911083386213,yes
1.0,0.9949148563682385,yes
0.0,0.0032314536466926487,yes
0.0,0.0032314536466926487,yes
1.0,0.9948911083386213,yes
1.0,0.9949148563682385,yes
0.0,0.0038667076485060024,yes
1.0,0.9948911083386213,yes
0.0,0.0032314536466926487,yes
1.0,0.9949148563682385,yes
0.0,0.0038667076485060024,yes
1.0,0.9948911083386213,yes
0.0,0.0032314536466926487,yes
0.0,0.0038667076485060024,yes
1.0,0.9949148563682385,yes
0.0,0.0032314536466926487,yes
0.0,0.0032314536466926487,yes
1.0,0.9949148563682385,yes
1.0,0.9949148563682385,yes
1.0,0.9949148563682385,yes
0.0,0.0038667076485060024,yes
0.0,0.0038667076485060024,yes
1.0,0.9949148563682385,yes
0.0,0.0032314536466926487,yes
0.0,0.0032314536466926487,yes
1.0,0.9948911083386213,yes
0.0,0.0032314536466926487,yes
1.0,0.9949148563682385,yes
1.0,0.9949148563682385,yes
0.0,0.0032314536466926487,yes
1.0,0.9948911083386213,yes
0.0,0.0032314536466926487,yes
1.0,0.9948911083386213,yes
0.0,0.0038667076485060024,yes
1.0,0.9948911083386213,yes
Accuracy percentage: ,100.0%
