Project 4, CS420
 Artificial, Neural Nets
Completed by:, Ksenia Burova


Epoch #, RMSE
0,0.19956738142526154
1,0.1989281849252877
2,0.19831725748916273
3,0.19773292763496034
4,0.1971735581970361
5,0.1966375751659119
6,0.1961234888852652
7,0.19562990828029272
8,0.19515554897833393
9,0.19469923628615818
10,0.1942599040194479
11,0.19383659015193697
12,0.19342843017881425
13,0.19303464898576952
14,0.1926545518947414
15,0.1922875154314013
16,0.19193297823666758
17,0.19159043243155538
18,0.19125941564551238
19,0.19093950383509023
20,0.19063030495273736
21,0.19033145347388783
22,0.19004260575278456
23,0.18976343615166272
24,0.18949363387189513
25,0.18923290040742957
26,0.18898094753843223
27,0.18873749578487825
28,0.18850227324452842
29,0.18827501474622388
30,0.18805546125687325
31,0.187843359488277
32,0.18763846165758782
33,0.18744052536245054
34,0.187249313538511
35,0.18706459447293866
36,0.18688614185283683
37,0.18671373483191753
38,0.18654715810264996
39,0.1863862019642867
40,0.18623066237980904
41,0.1860803410169743
42,0.18593504527035845
43,0.185794588262631
44,0.18565878882433898
45,0.18552747145225218
46,0.18540046624689493
47,0.18527760883028804
48,0.1851587402451864
49,0.18504370683725643
50,0.1849323601217115
51,0.1848245566359363
52,0.18472015777960246
53,0.18461902964371718
54,0.1845210428299699
55,0.18442607226165833
56,0.18433399698739375
57,0.18424469997871146
58,0.18415806792265713
59,0.18407399101038516
60,0.18399236272280228
61,0.18391307961431738
62,0.18383604109583485
63,0.1837611492182471
64,0.18368830845785963
65,0.18361742550542276
66,0.18354840906075437
67,0.18348116963532868
68,0.18341561936568138
69,0.18335167184104761
70,0.18328924194931562
71,0.183228245746133
72,0.183168600352858
73,0.18311022388997172
74,0.18305303545355467
75,0.18299695514343337
76,0.18294190415256878
77,0.18288780492811701
78,0.18283458141522843
79,0.18278215939494746
80,0.18273046692734302
81,0.18267943491005614
82,0.1826289977605509
83,0.1825790942272416
84,0.18252966833008294
85,0.1824806704249069
86,0.1824320583775771
87,0.1823837988238397
88,0.18233586847867517
89,0.18228825544533417
90,0.18224096045974358
91,0.18219399799163247
92,0.18214739711100572
93,0.18210120201933663
94,0.18205547214118378
95,0.18201028167610636
96,0.18196571852477975
97,0.18192188252854086
98,0.18187888299861601
99,0.1818368355589531
100,0.18179585838206258
101,0.18175606795595833
102,0.18171757457596907
103,0.18168047780081384
104,0.18164486214088177
105,0.18161079325245533
106,0.18157831489139514
107,0.18154744683368418
108,0.18151818390196575
109,0.1814904961539307
110,0.18146433019954716
111,0.1814396115299594
112,0.1814162476708451
113,0.1813941319242443
114,0.1813731474391771
115,0.1813531713529884
116,0.1813340787692406
117,0.1813157463787214
118,0.18129805558105955
119,0.1812808950188243
120,0.1812641624879099
121,0.18124776623306882
122,0.1812316256729381
123,0.1812156716237511
124,0.1811998461054338
125,0.18118410181924013
126,0.18116840138427992
127,0.18115271641327405
128,0.18113702649753843
129,0.18112131815923208
130,0.18110558381661157
131,0.18108982079636307
132,0.18107403041664494
133,0.18105821715558676
134,0.18104238791276023
135,0.18102655136551868
136,0.1810107174179392
137,0.1809948967372015
138,0.18097910037037793
139,0.18096333943357581
140,0.18094762486496976
141,0.18093196723331756
142,0.1809163765939275
143,0.18090086238462436
144,0.18088543335495327
145,0.18087009752260927
146,0.18085486215182936
147,0.18083973374920337
148,0.18082471807303507
149,0.1808098201529968
150,0.1807950443173673
151,0.18078039422562314
152,0.18076587290457174
153,0.18075148278657027
154,0.18073722574867698
155,0.1807231031518358
156,0.18070911587940588
157,0.18069526437452138
158,0.18068154867590833
159,0.1806679684519003
160,0.1806545230324855
161,0.1806412114392914
162,0.18062803241346878
163,0.18061498444147978
164,0.1806020657788284
165,0.18058927447179643
166,0.18057660837726155
167,0.18056406518069032
168,0.18055164241240218
169,0.18053933746220532
170,0.18052714759250715
171,0.18051506994999986
172,0.18050310157601884
173,0.18049123941566872
174,0.18047948032580818
175,0.1804678210819766
176,0.18045625838434523
177,0.1804447888627652
178,0.18043340908098346
179,0.18042211554009036
180,0.18041090468125706
181,0.18039977288781897
182,0.1803887164867527
183,0.1803777317495934
184,0.1803668148928327
185,0.1803559620778341
186,0.18034516941030107
187,0.18033443293932597
188,0.18032374865604936
189,0.1803131124919516
190,0.18030252031680066
191,0.1802919679362747
192,0.18028145108927615
193,0.1802709654449536
194,0.18026050659944398
195,0.18025007007234817
196,0.18023965130294836
197,0.1802292456461791
198,0.18021884836835683
199,0.18020845464267785
200,0.1801980595444883
201,0.18018765804633274
202,0.1801772450127853
203,0.18016681519506794
204,0.18015636322545825
205,0.18014588361149098
206,0.18013537072995528
207,0.18012481882069067
208,0.18011422198018348
209,0.18010357415496672
210,0.18009286913482472
211,0.18008210054580595
212,0.1800712618430444
213,0.1800603463033938
214,0.1800493470178757
215,0.18003825688394479
216,0.18002706859757356
217,0.18001577464515978
218,0.18000436729525945
219,0.1799928385901486
220,0.1799811803372173
221,0.17996938410019894
222,0.17995744119023907
223,0.17994534265680595
224,0.17993307927844765
225,0.17992064155339735
226,0.17990801969003095
227,0.17989520359717812
228,0.17988218287428948
229,0.17986894680146068
230,0.1798554843293129
231,0.1798417840687289
232,0.17982783428044227
233,0.17981362286447533
234,0.17979913734941863
235,0.17978436488154473
236,0.17976929221374424
237,0.17975390569426972
238,0.1797381912552698
239,0.17972213440109258
240,0.17970572019633155
241,0.1796889332535846
242,0.1796717577208888
243,0.17965417726879152
244,0.17963617507700796
245,0.179617733820612
246,0.17959883565569695
247,0.1795794622044373
248,0.17955959453947057
249,0.17953921316751273
250,0.17951829801210678
251,0.1794968283953957
252,0.17947478301879805
253,0.1794521399424518
254,0.17942887656327788
255,0.17940496959150357
256,0.17938039502546296
257,0.17935512812448354
258,0.17932914337964254
259,0.1793024144821614
260,0.17927491428918194
261,0.17924661478664886
262,0.17921748704899307
263,0.17918750119528795
264,0.179156626341517
265,0.17912483054856124
266,0.17909208076547808
267,0.17905834276760388
268,0.17902358108897118
269,0.17898775894848115
270,0.17895083816922291
271,0.17891277909027037
272,0.17887354047022538
273,0.17883307938170326
274,0.1787913510958794
275,0.1787483089561257
276,0.17870390423967017
277,0.1786580860061019
278,0.1786108009314255
279,0.17856199312622983
280,0.1785116039363884
281,0.1784595717245402
282,0.1784058316304088
283,0.17835031530781256
284,0.17829295063598138
285,0.17823366140253502
286,0.1781723669551892
287,0.17810898181892673
288,0.17804341527501433
289,0.1779755708978396
290,0.1779053460450991
291,0.17783263129637195
292,0.17775730983456628
293,0.17767925676412447
294,0.17759833835920943
295,0.1775144112343755
296,0.17742732142944004
297,0.1773369033994365
298,0.17724297889963173
299,0.17714535575465717
300,0.17704382649984668
301,0.17693816688192174
302,0.17682813420526255
303,0.17671346550921466
304,0.17659387556128536
305,0.1764690546508193
306,0.17633866616795896
307,0.17620234395363324
308,0.17605968940827857
309,0.17591026835037815
310,0.17575360762123898
311,0.17558919144037985
312,0.17541645752732338
313,0.17523479302150938
314,0.1750435302536865
315,0.17484194245087667
316,0.17462923949422268
317,0.17440456389594242
318,0.17416698721878665
319,0.173915507228098
320,0.17364904613963247
321,0.1733664503986202
322,0.17306649248400452
323,0.17274787525515628
324,0.17240923931555568
325,0.1720491737186756
326,0.1716662300414255
327,0.17125893936596046
328,0.1708258310431895
329,0.17036545133587397
330,0.1698763793426787
331,0.16935723730054927
332,0.16880669284138194
333,0.16822345235417746
334,0.16760624726829781
335,0.16695381826387826
336,0.16626490498549046
337,0.1655382494101822
338,0.16477261869836973
339,0.16396684840164966
340,0.1631199009533436
341,0.16223092989335047
342,0.16129933950715275
343,0.16032483340765868
344,0.1593074530543944
345,0.1582476154418394
346,0.1571461643788997
347,0.1560044487408366
348,0.15482443307614804
349,0.15360883361402425
350,0.1523612609258119
351,0.15108634364210957
352,0.1497898071559724
353,0.14847848544124193
354,0.14716025021833726
355,0.1458438482600338
356,0.14453864515142953
357,0.14325428346955366
358,0.14200027514900268
359,0.14078555975610074
360,0.139618069058835
361,0.13850434028408312
362,0.1374492141183144
363,0.1364556397086855
364,0.1355245907854086
365,0.13465507865556997
366,0.13384423272692117
367,0.13308740922878484
368,0.13237828378005992
369,0.13170888186373017
370,0.13106950113786867
371,0.13044847974688592
372,0.12983176689182171
373,0.1292022627107171
374,0.12853893050659865
375,0.12781577646786166
376,0.1270009833608382
377,0.12605680026148455
