Run # 0,,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,,
0,0.088030272,0.773005537,10,,,
1,0.433562073,0.906272259,10,,,
2,0.505515208,0.92004287,7,,,
3,0.652874109,0.90181324,11,,,
4,0.62483222,0.90179586,12,,,
5,0.656446713,0.90179586,13,,,
6,0.630679145,0.899019058,12,,,
7,0.680277823,0.938945848,12,,,
8,0.660170536,0.944085767,8,,,
9,0.764298282,0.981839593,11,,,
Run # 1,,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,,
0,0.051035253,0.618577784,15,,,
1,0.264454161,0.807404449,8,,,
2,0.394670634,0.999837887,16,,,
3,0.542490881,0.999837887,12,,,
4,0.529466499,0.999828352,12,,,
5,0.574480696,0.99855136,13,,,
6,0.554273856,0.999609062,13,,,
7,0.587458624,0.996163333,13,,,
8,0.602105303,0.983933502,13,,,
9,0.513228531,0.996163333,13,,,
Run # 2,,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,,
0,0.077709113,0.943732663,11,,,
1,0.509197046,0.95304341,9,,,
2,0.652376012,0.975124984,13,,,
3,0.623565088,0.952112279,15,,,
4,0.659174528,0.95218528,12,,,
5,0.684228616,0.998446598,13,,,
6,0.699733171,0.955219236,13,,,
7,0.621286721,0.951291374,14,,,
8,0.673404567,0.96697952,12,,,
9,0.647139979,0.948214101,15,,,
Run # 3,,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,,
0,0.084776254,0.931967691,6,,,
1,0.499097366,0.933391843,12,,,
2,0.636364997,0.978785758,12,,,0.981839593
3,0.570563199,0.972815352,13,,,0.996163333
4,0.683824873,0.972815352,13,,,0.948214101
5,0.73847652,0.976356315,13,,,0.963478406
6,0.714297534,0.985748963,13,,,0.996942919
7,0.654606576,0.985748963,14,,,0.999180143
8,0.708638417,0.950571326,14,,,0.986954662
9,0.716039427,0.963478406,13,,,0.947450726
Run # 4,,,,,,0.992008484
Generation #, Average Fitness, BestFitness, CorrectBits # ,,,0.999895101
0,0.033224947,0.418975077,10,,,
1,0.316563519,0.73298664,14,,,
2,0.348492589,0.860077112,14,,,
3,0.38994648,0.860077112,12,,,
4,0.437930978,0.862219525,14,,,
5,0.556096544,0.963340074,13,,,
6,0.484405161,0.963340074,12,,,
7,0.550501009,0.958647426,10,,,
8,0.633766631,0.996904878,12,,,
9,0.694945462,0.996942919,11,,,
Run # 5,,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,,
0,0.094677505,0.99681929,10,,,
1,0.477251528,0.99681929,16,,,
2,0.643569826,0.997428061,14,,,
3,0.706972134,0.998941926,11,,,
4,0.704596077,0.996895368,15,,,
5,0.654999001,0.995859253,8,,,
6,0.521170356,0.994406524,12,,,
7,0.643979208,0.994919034,12,,,
8,0.601438773,0.994957007,12,,,
9,0.681306691,0.999180143,13,,,
Run # 6,,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,,
0,0.098431859,0.881982481,10,,,
1,0.468261366,0.976963167,8,,,
2,0.582891247,0.97318754,15,,,
3,0.721866537,0.992415689,14,,,
4,0.735792057,0.997313891,13,,,
5,0.760262626,0.999752072,12,,,
6,0.751816731,0.999847423,9,,,
7,0.651619821,0.999847423,13,,,
8,0.686315681,0.999847423,13,,,
9,0.67461937,0.986954662,13,,,
Run # 7,,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,,
0,0.122978824,0.902647799,10,,,
1,0.554886492,0.904458395,11,,,
2,0.569800217,0.904458395,9,,,
3,0.711892418,0.904458395,10,,,
4,0.630104316,0.970519929,11,,,
5,0.687005137,0.932191484,14,,,
6,0.702802672,0.955301603,10,,,
7,0.71707106,0.983651577,14,,,
8,0.666945528,0.983651577,14,,,
9,0.691638032,0.947450726,15,,,
Run # 8,,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,,
0,0.062001736,0.903726799,16,,,
1,0.319454655,0.977635767,12,,,
2,0.463168389,0.983388512,17,,,
3,0.52445685,0.984591612,11,,,
4,0.56031863,0.984591612,15,,,
5,0.695979743,0.994254715,14,,,
6,0.621053049,0.989417269,12,,,
7,0.69615014,0.987878671,14,,,
8,0.680007224,0.992008484,15,,,
9,0.675443717,0.992008484,13,,,
Run # 9,,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,,
0,0.066550461,0.942782591,13,,,
1,0.423725746,0.959124948,14,,,
2,0.677260078,0.961478951,12,,,
3,0.758712684,0.992595664,15,,,
4,0.627801264,0.991989548,11,,,
5,0.75986472,0.997532727,16,,,
6,0.687006884,0.994994982,15,,,
7,0.673702454,0.979141286,14,,,
8,0.717774463,0.999895101,16,,,
9,0.656025454,0.999895101,12,,,
