Run # 0
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.07263453565102344,0.855491697167701,12
1,0.4304075671859967,0.8557569163088145,13
2,0.5965260844568676,0.889283513217159,13
3,0.6844349384592641,0.9629528413424574,10
4,0.5743822102887698,0.9442397207505784,11
5,0.607098622431373,0.976346981571803,15
6,0.6465859972467732,0.9776077341140248,8
7,0.712931815597101,0.9752182174985732,13
8,0.6078259295581806,0.9752182174985732,12
9,0.6014983152277107,0.9740254315096758,14
Run # 1
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.11502164066231207,0.7387757944092048,10
1,0.5208888457824549,0.8139733110665778,11
2,0.4548310754227447,0.7978896092502116,11
3,0.5209702897113805,0.814100105345762,6
4,0.5693476760017738,0.7820695676853162,9
5,0.6105434394919922,0.9167127465792569,12
6,0.6407784707424633,0.9185398771397505,9
7,0.5343856697826462,0.9247784411732776,9
8,0.6468035866470412,0.8873204242597438,9
9,0.6145563347746117,0.9281973432578883,7
Run # 2
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.06121932983846165,0.9819240228716334,13
1,0.4420806644431975,0.9942357404665783,13
2,0.5671596518172127,0.9987990199143708,13
3,0.6209422549575151,0.9963629305828261,15
4,0.6850414649445306,0.9963629305828261,6
5,0.6048853470163701,0.9967432166929775,11
6,0.7297689231659387,0.9967432166929775,14
7,0.7138953682543262,0.9967432166929775,15
8,0.7092975753474524,0.9968953677100573,12
9,0.5834995292718937,0.9967907616405624,14
Run # 3
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.10091574698830938,0.9256054148048165,10
1,0.5170388279760074,0.997456605258488,14
2,0.605736259712775,0.9626486850492253,12
3,0.6500396348308436,0.9924441040086593,15
4,0.6363969188895187,0.9974375756013567,16
5,0.7219610367848365,0.9975517584455201,19
6,0.7105749926250072,0.9975517584455201,18
7,0.7147564152182949,0.9999618536821733,14
8,0.6384969555407464,0.999656730282969,7
9,0.6725935187578461,0.9995518634688045,15
Run # 4
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.03307772250714169,0.6320336902359421,9
1,0.31411237530665603,0.7068160494214545,8
2,0.5232637632851884,0.8720759113849812,7
3,0.5567936518815224,0.8720759113849812,11
4,0.6080697546085003,0.9828907407196988,9
5,0.5398277967027457,0.8741691525457134,16
6,0.6077321277600032,0.9746682544812506,15
7,0.6389728383237808,0.974658935480277,14
8,0.5911515911728177,0.9756005596477351,11
9,0.590845378549592,0.9949475137017846,14
Run # 5
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.06981315185619213,0.7127493205621579,9
1,0.39151417232640884,0.97973096971525,10
2,0.5606824201424202,0.97973096971525,12
3,0.6094456728263021,0.97973096971525,12
4,0.7241539569657899,0.9795343729739793,12
5,0.689548593763055,0.9418062719353264,15
6,0.6980045736245853,0.9419689285624636,13
7,0.6888992134728157,0.9600254763665667,17
8,0.6624485655693444,0.9805177118504924,11
9,0.7460411630925495,0.980592669319214,14
Run # 6
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.12786457608775997,0.799299457159917,10
1,0.45923090477070805,0.799299457159917,11
2,0.5361388561773676,0.9277961030995345,12
3,0.5411239436615963,0.9282776100274693,9
4,0.5884393440346116,0.9472963011438242,12
5,0.6758521413059186,0.9473235510003852,11
6,0.6906317934424068,0.9427283271673682,11
7,0.6733328642080605,0.9427283271673682,13
8,0.7262070455149118,0.9801149038000905,12
9,0.6879136178681615,0.9662950265735937,10
Run # 7
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.10378330937827247,0.6631243083536101,12
1,0.3794198949208718,0.7358254403407622,10
2,0.48001827810681713,0.7972982963832778,11
3,0.4617059814813798,0.7972982963832778,12
4,0.5214418485888781,0.8350067676740511,12
5,0.569182578464637,0.8350067676740511,12
6,0.4854139772696844,0.8902278707186667,8
7,0.5617043603311366,0.9067960971587151,12
8,0.5850883354670458,0.8025013301846442,13
9,0.5791466646928125,0.8038871660341839,11
Run # 8
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.14883392166997936,0.9272346291299564,13
1,0.4828864442460316,0.9456535311329465,10
2,0.6035152995181348,0.9834636667197527,13
3,0.647996113999462,0.9993993475949423,12
4,0.7049700648226604,0.9993993475949423,12
5,0.6397425789480425,0.9993898160482815,12
6,0.628534900304483,0.9801711006324247,12
7,0.650244058400322,0.9804708660512895,14
8,0.5877916344463304,0.9877466222441657,14
9,0.7008166093395028,0.9901826503290024,13
Run # 9
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.1074748596896903,0.5875609983222884,9
1,0.34588367982719886,0.8127379979439102,13
2,0.36123047361792004,0.8127379979439102,13
3,0.4218856730029189,0.9558234081488285,13
4,0.5260288284987239,0.9605404054210787,11
5,0.6162878698333032,0.9380901466151126,11
6,0.5457074785053867,0.9516470211998352,12
7,0.637972030685832,0.9516470211998352,16
8,0.6722420299680372,0.8874660216210283,13
9,0.6233651350973329,0.8874745868412508,15
