Run # 0
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.12949376175028682,0.9016915911254969,10
1,0.5863227925806487,0.9754140344318182,12
2,0.6969812474791673,0.9754047090135889,12
3,0.7470889853202224,0.9985037397366268,13
4,0.699926818226445,0.9104881303977421,14
5,0.673674789574444,0.9786828639757131,12
6,0.5999235538526598,0.9798620539375862,12
7,0.6669814330884473,0.9798620539375862,12
8,0.7287839807658358,0.9106459108933824,12
9,0.7774689940872874,0.9742024026543429,11
Run # 1
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.09269600226579032,0.768140445831239,10
1,0.4716152654355645,0.938018119638599,12
2,0.5060935865227896,0.9171361374722071,11
3,0.5569507243326772,0.9140969247155183,12
4,0.5693675575568012,0.9428368576494073,13
5,0.6657140088521446,0.9721643318118498,14
6,0.708963459057896,0.9946912225235903,15
7,0.7569668634558355,0.9946912225235903,11
8,0.6673550479391152,0.9378740806170913,12
9,0.669947210155586,0.9440404903685593,12
Run # 2
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.09775687058546838,0.9734295310319897,15
1,0.5478625762238043,0.9746216602782852,10
2,0.681527302047375,0.9926619784433155,7
3,0.6312370554694766,0.9926619784433155,13
4,0.6298563608806276,0.9926619784433155,14
5,0.6709631086672324,0.9926809260805616,12
6,0.6190683519847427,0.9974090317283084,13
7,0.6672727670310831,0.997256810154398,13
8,0.7135785198418357,0.9974090317283084,12
9,0.7820387294826999,0.999923708673979,14
Run # 3
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.09876019484735307,0.7715091255207401,12
1,0.5584583241719852,0.9275821721833483,13
2,0.5966624293259701,0.9179569581822079,10
3,0.5651272226376183,0.869659122984266,13
4,0.5845544110649573,0.8697432301771194,11
5,0.5787491755726967,0.9275821721833483,11
6,0.5962018730816047,0.9275910850850808,14
7,0.7018822617792863,0.9224611302741782,9
8,0.5942222048836613,0.922532081249974,11
9,0.6154424617710703,0.9987990199143708,13
Run # 4
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.03661708944919152,0.3245702508803516,10
1,0.28628120151131164,0.880237940578327,9
2,0.38256810016107773,0.908806668681156,12
3,0.5982565765386667,0.9527146822733382,12
4,0.6725661845538704,0.99299360909283,15
5,0.638697315881437,0.99299360909283,11
6,0.7007191478825019,0.9948146145618932,9
7,0.71960509666735,0.9944349907637807,13
8,0.7744036172084352,0.9944349907637807,11
9,0.7524708975511558,0.9465880524430583,13
Run # 5
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.07305653717933355,0.9118476024122434,12
1,0.4035603732182717,0.9140969247155183,13
2,0.6147041334363028,0.982468282945978,12
3,0.6076244087732433,0.9824495108384487,13
4,0.7183606873157729,0.9842907124801988,13
5,0.6449405521056399,0.9587667864089017,12
6,0.7805635254195676,0.9889356356979783,13
7,0.7565636917098241,0.9889356356979783,14
8,0.7643690102090585,0.9590331004384849,14
9,0.7286146228276369,0.9974280608953214,15
Run # 6
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.1258242608402301,0.9005453455576591,10
1,0.5728862565369334,0.9100061757598253,12
2,0.5283895988157208,0.9468422407150683,13
3,0.584958244344394,0.9466969827527194,12
4,0.5505139064242588,0.9466969827527194,9
5,0.625976686487809,0.899149048638907,10
6,0.5597269416756242,0.8748030791240231,10
7,0.524425175683834,0.9736529552497307,11
8,0.516692995584066,0.971272141276713,10
9,0.5719595989826206,0.9035004611952486,12
Run # 7
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.06590014466904016,0.4780022198664738,9
1,0.2865558276181115,0.9955932511285804,17
2,0.42890577460064233,0.9955932511285804,12
3,0.5517806956336133,0.9956217482297924,16
4,0.6389952126182581,0.9995042000081503,8
5,0.6536954847257375,0.9956407467051046,13
6,0.710841329180541,0.9991801427197239,13
7,0.6665255386406,0.9981609323208819,10
8,0.6371513581532379,0.9956882443208523,17
9,0.6045629508582974,0.9967907616405624,13
Run # 8
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.1262959155126135,0.9899274640844461,14
1,0.4670956250066308,0.9899274640844461,9
2,0.5726361857971303,0.9900125195886262,15
3,0.5225794240237506,0.9899274640844461,17
4,0.648818360824728,0.9898707640687627,10
5,0.7600314605758755,0.9971902197907874,12
6,0.7534430601477207,0.9974090317283084,14
7,0.8292032350723614,0.9899085637544478,13
8,0.7682206342744965,0.9899463647392215,9
9,0.6993635035906629,0.9899652657187789,10
Run # 9
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.08119035203031064,0.6553572992539036,11
1,0.35497680971141704,0.8397866204754147,10
2,0.4422544384440266,0.7563539167746957,15
3,0.517707520431667,0.9770939174282961,11
4,0.46046529906936423,0.9684795276654093,11
5,0.5087036787697256,0.968553656373646,12
6,0.47740266063645115,0.8943678996328853,11
7,0.5699371567381132,0.9871431717712964,14
8,0.6101810622556504,0.9776077341140248,11
9,0.655874090365615,0.976216320644484,13
