Run # 0,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.072133259,0.773005537,14
1,0.459790305,0.85290142,13
2,0.507292459,0.934145016,10
3,0.536953777,0.934145016,11
4,0.5383845,0.898048997,9
5,0.479229277,0.90447582,12
6,0.619037031,0.906272259,14
7,0.63020431,0.906272259,15
8,0.652882167,0.969499245,7
9,0.66138594,0.969499245,8
Run # 1,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.078968634,0.890898053,12
1,0.512598211,0.890975411,12
2,0.58497415,0.963865829,11
3,0.59535742,0.963875055,14
4,0.677815888,0.994710205,13
5,0.684010129,0.997038028,13
6,0.690751778,0.99719022,12
7,0.650963147,0.96391196,10
8,0.69731856,0.96391196,12
9,0.664775594,0.961552597,12
Run # 2,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.078726877,0.946479133,7
1,0.373861865,0.955814251,10
2,0.534291155,0.947941404,10
3,0.618118615,0.980723857,13
4,0.645027969,0.956739475,16
5,0.625640532,0.985984347,13
6,0.678749539,0.985984347,12
7,0.647693518,0.979562456,9
8,0.63098112,0.988463651,9
9,0.663338527,0.9997044,13
Run # 3,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.080424335,0.810382922,14
1,0.42693071,0.843305845,12
2,0.487615029,0.975218217,15
3,0.559740014,0.9862292,9
4,0.641266922,0.998951453,12
5,0.611745335,0.998951453,10
6,0.684271477,0.998951453,14
7,0.740837371,0.996419965,14
8,0.767367076,0.995393792,12
9,0.674835852,0.995289328,12
Run # 4,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.099675275,0.862553406,12
1,0.522390105,0.927234629,11
2,0.647830441,0.928340044,11
3,0.579096738,0.94207738,10
4,0.614928443,0.909725871,12
5,0.678184444,0.909725871,12
6,0.695482362,0.922062123,12
7,0.556380305,0.936398828,13
8,0.678830156,0.936425796,9
9,0.608061977,0.90573997,13
Run # 5,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.114814531,0.960089829,13
1,0.471469991,0.960126604,15
2,0.491330845,0.987586298,9
3,0.624085523,0.987661742,16
4,0.638727058,0.997999088,14
5,0.68705746,0.998465645,11
6,0.647010374,0.980948788,10
7,0.633171784,0.991014779,12
8,0.635398792,0.991014779,12
9,0.706232249,0.978654804,12
Run # 6,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.058421844,0.850474812,13
1,0.37951234,0.995688244,10
2,0.603255143,0.996904878,16
3,0.659496974,0.999332628,15
4,0.676824998,0.998113329,10
5,0.666836631,0.991743409,12
6,0.738181983,0.99242516,14
7,0.635753507,0.996505523,12
8,0.735026632,0.992046357,14
9,0.700576185,0.994093441,10
Run # 7,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.091241792,0.721530656,12
1,0.424963401,0.810967166,10
2,0.545577922,0.990910729,10
3,0.53596938,0.990910729,11
4,0.566839927,0.993277943,11
5,0.608871874,0.993277943,11
6,0.569236078,0.993277943,12
7,0.621869099,0.990853978,10
8,0.601441942,0.995697744,12
9,0.672373137,0.990636461,12
Run # 8,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.062621383,0.823844716,12
1,0.458397737,0.964908879,13
2,0.483549178,0.974407353,11
3,0.472228222,0.848523194,12
4,0.602882144,0.983980497,13
5,0.603240006,0.983999295,16
6,0.624538329,0.9839523,12
7,0.582969103,0.998646607,12
8,0.650388398,0.9997044,12
9,0.684350666,0.9997044,14
Run # 9,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.095964853,0.910707277,10
1,0.456164654,0.977504951,11
2,0.616276701,0.997237784,13
3,0.720801748,0.997161682,16
4,0.726100853,0.997009495,13
5,0.668357537,0.988520278,10
6,0.716496136,0.988482526,16
7,0.749011641,0.998646607,13
8,0.62879402,0.998684709,16
9,0.710233355,0.998684709,10
