Run # 0
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.05187928170559075,0.5086836119222434,14
1,0.25638908599591737,0.5997462704845214,10
2,0.4138105953001633,0.8289052804297639,9
3,0.4553192618411877,0.8289052804297639,11
4,0.5301312456188034,0.9764683236686965,13
5,0.6071166388421161,0.969397229914356,16
6,0.5774194308333117,0.9695456188705736,11
7,0.5916099850975189,0.9801336357553296,12
8,0.5641268105594028,0.971690263793942,11
9,0.5804022569171715,0.9696940282694437,11
Run # 1
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.10467243575119548,0.7123064647925013,13
1,0.5120224111242978,0.7123626867154919,13
2,0.5335633617861131,0.719535418574013,13
3,0.492647628864466,0.7195425102514209,10
4,0.575340899823464,0.9791412860025775,13
5,0.6037761368901978,0.998579933550472,17
6,0.6225712065824957,0.998579933550472,11
7,0.5916123843891916,0.998579933550472,12
8,0.6301689334431482,0.998579933550472,13
9,0.6194772833002681,0.998579933550472,11
Run # 2
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.0753111287051578,0.9744166696001588,11
1,0.507677133374509,0.9744259865163697,10
2,0.654672670436287,0.9936666518722189,13
3,0.7405395477903515,0.9938183801584557,14
4,0.7962633803896401,0.9862857119246897,12
5,0.8399340345508564,0.9862857119246897,12
6,0.660919267262025,0.9862857119246897,12
7,0.8041571337182954,0.9862857119246897,12
8,0.7826474236200232,0.9868321472904035,11
9,0.6771888237821073,0.9913175278666744,14
Run # 3
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.03218553529857836,0.5320262843166816,7
1,0.28032324655657004,0.543198492409211,13
2,0.3893391056273413,0.566178553420826,8
3,0.3760062915427515,0.6275047741074199,8
4,0.3900709936471927,0.7761428411404312,7
5,0.4534425086849323,0.6521566421663536,8
6,0.49731624052102785,0.6536641380276044,10
7,0.41657153462984603,0.8989497367899293,11
8,0.47548103620816295,0.6536641380276044,10
9,0.5492594410294017,0.6947459077250164,9
Run # 4
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.048655258974506045,0.6447687830919513,14
1,0.5050841978572168,0.8199439171857761,16
2,0.5177283785995572,0.9132967895215951,15
3,0.5467009034982246,0.9132967895215951,10
4,0.5778551034780313,0.9135780838581319,14
5,0.5205882048702043,0.9912512945389643,10
6,0.6133863771043327,0.9912512945389643,15
7,0.6482727638283059,0.9913837651773723,13
8,0.6783661335287423,0.9913837651773723,14
9,0.6223689828643936,0.9913837651773723,15
Run # 5
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.07874477423815687,0.9864552661645274,15
1,0.501797262589919,0.9876617419649897,14
2,0.7275737939672839,0.9888506634657261,15
3,0.7824653457918678,0.9960682986682187,12
4,0.6618227632668181,0.9979514910483442,14
5,0.6931646468215209,0.9961348216005808,11
6,0.6876202164751088,0.9961443252030328,14
7,0.7441076771630707,0.9864552661645274,14
8,0.6790595591945433,0.9882466059590339,13
9,0.5942032860098638,0.9813237749567241,11
Run # 6
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.13429138760371798,0.9928040936569353,8
1,0.5472003372151776,0.9928040936569353,15
2,0.6950921247915521,0.9934011775365228,13
3,0.710877812484694,0.9933063807446861,12
4,0.727879626153558,0.9941693316858589,12
5,0.6992644543032133,0.9947956302747566,10
6,0.6527915221297327,0.9946817313989006,16
7,0.7388087305572616,0.9987132853161673,12
8,0.7434328029630837,0.9987132853161673,8
9,0.7985045517511052,0.9987132853161673,15
Run # 7
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.07596508318504805,0.5036455417712041,15
1,0.29703379839741323,0.9627500608719023,12
2,0.3878235667569739,0.5243057780387248,17
3,0.4391890125821224,0.9997616069988107,12
4,0.5685982707195852,0.9997616069988107,14
5,0.5240289029252686,0.9722108202709189,13
6,0.6448616041596924,0.9911377609573917,13
7,0.5618343748380517,0.9945298844882682,11
8,0.5984779547892638,0.9946817313989006,10
9,0.6588501312114169,0.9946817313989006,13
Run # 8
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.11956146606423705,0.9176479696047808,11
1,0.45853403856396757,0.992576718103632,13
2,0.5437074803539352,0.9815488292141035,13
3,0.5416382073261496,0.9813987878818254,13
4,0.5483736478078627,0.9813987878818254,12
5,0.6327355555398,0.9813987878818254,11
6,0.6833312994996247,0.9813987878818254,13
7,0.7270032203030857,0.9816988911912528,13
8,0.6183793893103212,0.9671645925018872,13
9,0.6315793415293565,0.9529977474284479,14
Run # 9
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.10816116279668554,0.821684428309311,9
1,0.37501873158128785,0.9620774737060179,11
2,0.4755322932579821,0.9668037297024282,12
3,0.49875808887408296,0.9668037297024282,11
4,0.520039530818073,0.9066825757819016,9
5,0.6592160149091897,0.9066825757819016,14
6,0.6860479785788371,0.9651028314951868,12
7,0.714216881163927,0.9651028314951868,11
8,0.7897348192611845,0.9651028314951868,10
9,0.582830223670532,0.9698795687693254,10
