Run # 0,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.118085806,0.728212685,6
1,0.372375277,0.850128661,8
2,0.35813964,0.850128661,10
3,0.376545803,0.850120421,10
4,0.340523526,0.850301721,12
5,0.407596865,0.850351172,10
6,0.489732516,0.850301721,13
7,0.470265714,0.852777463,14
8,0.557213628,0.852777463,12
9,0.489730129,0.8527692,14
Run # 1,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.1302546,0.851505773,12
1,0.39993388,0.921592379,14
2,0.555487643,0.923579179,15
3,0.474384945,0.851505773,11
4,0.599313042,0.987699466,15
5,0.614998823,0.96820159,17
6,0.629369118,0.985523042,14
7,0.751255147,0.986276293,14
8,0.716856916,0.983116118,12
9,0.685006771,0.988831782,12
Run # 2,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.037374233,0.165893791,8
1,0.171520297,0.7241583,9
2,0.267702725,0.722419817,9
3,0.340447684,0.739160775,13
4,0.313375432,0.619978033,9
5,0.373644194,0.635633579,11
6,0.355896816,0.640496196,10
7,0.451475834,0.654100076,12
8,0.518129471,0.875801295,10
9,0.577524929,0.876885263,11
Run # 3,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.046938879,0.348532895,10
1,0.282197968,0.781511734,12
2,0.462835102,0.938729604,10
3,0.686137004,0.976253651,15
4,0.635223978,0.995536259,14
5,0.60961519,0.940876001,15
6,0.775431722,0.940876001,12
7,0.67380489,0.933965639,13
8,0.684096696,0.926406346,12
9,0.646690903,0.926406346,13
Run # 4,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.153452115,0.818907578,11
1,0.585086709,0.818907578,10
2,0.595733634,0.818907578,13
3,0.575680136,0.852488293,13
4,0.63220374,0.92288691,11
5,0.596280299,0.878819075,11
6,0.71484056,0.976468324,13
7,0.597453562,0.976468324,10
8,0.608067234,0.99423574,13
9,0.726018779,0.995450777,15
Run # 5,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.094103913,0.794859419,12
1,0.602991547,0.998294234,6
2,0.658724334,0.998370413,8
3,0.71931644,0.998332323,16
4,0.640278441,0.998332323,15
5,0.631894388,0.998332323,12
6,0.703223869,0.98866186,13
7,0.65888827,0.960687574,10
8,0.688871567,0.990617548,15
9,0.799888068,0.999542331,14
Run # 6,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.074420707,0.738325668,10
1,0.479420091,0.80893185,14
2,0.520454599,0.809160396,14
3,0.558150477,0.864366739,14
4,0.595701875,0.864366739,13
5,0.572004541,0.855872973,13
6,0.645536065,0.926219406,10
7,0.664425177,0.90591446,12
8,0.717361478,0.905923185,14
9,0.650895326,0.916571655,13
Run # 7,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.103014425,0.699937426,10
1,0.408723745,0.962657901,14
2,0.508933894,0.962657901,10
3,0.547798596,0.962722412,12
4,0.598431451,0.963662876,11
5,0.77195765,0.999694866,11
6,0.792036214,0.999694866,12
7,0.772154241,0.991033699,11
8,0.77119095,0.991033699,10
9,0.724626978,0.991043159,14
Run # 8,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.04317702,0.690148962,13
1,0.324490699,0.882101734,13
2,0.472056258,0.954423354,10
3,0.653712235,0.999790211,12
4,0.609827055,0.999408879,6
5,0.617221217,0.999790211,12
6,0.626556979,0.999733003,12
7,0.645942877,0.992093701,11
8,0.688236432,0.996695674,16
9,0.778536429,0.994150358,15
Run # 9,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.203806939,0.959483231,12
1,0.458479298,0.959483231,7
2,0.497069795,0.966248793,12
3,0.576702427,0.965657176,12
4,0.778549366,0.965666418,12
5,0.711401981,0.983567013,13
6,0.642603189,0.995374798,11
7,0.784840055,0.990522991,14
8,0.673380525,0.976076344,10
9,0.679943021,0.999561396,13
