Run # 0
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.15075679982091528,0.9562524657124225,20
1,0.5500272491162653,0.9562524657124225,16
2,0.6061774083698286,0.956375870179876,20
3,0.6220463305170734,0.9811913886367147,15
4,0.6766683453959135,0.9835755738809179,16
5,0.632413043109748,0.9833501014302589,18
6,0.6960249568400492,0.9933014652346541,17
7,0.685202916708242,0.9995414834589028,19
8,0.7113177963064584,0.9995414927682852,21
9,0.7415483154687789,0.9933003543879622,21
10,0.6901985826524485,0.9929781079506876,21
11,0.72539162451605,0.992978144968081,15
12,0.7838987937713354,0.9941918349954025,14
13,0.7960230241935673,0.994680730386595,22
14,0.7616433922454796,0.994680730386595,15
15,0.7027986863069597,0.9930008831366968,19
16,0.7048250220401887,0.9906966544017854,17
17,0.7688786028845156,0.9980546076690561,16
18,0.7610851547455088,0.9983517304827607,18
19,0.784622679990169,0.9984539635962668,19
20,0.7766940592680607,0.9979833769705824,17
21,0.7818028912749423,0.9979833769705824,19
22,0.7967827327543519,0.9979826332651597,20
23,0.7826552752004926,0.9931517424388884,19
24,0.7977874700904405,0.9943331929442912,19
25,0.7488050768261074,0.9883159576183894,18
26,0.7284596917131005,0.9890376921984034,17
27,0.7440584311298599,0.9898587765979656,18
28,0.7477446430401347,0.988294725925028,13
29,0.7825804521803135,0.9882948733659276,18
Run # 1
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.07421795874697677,0.9190894457743244,21
1,0.474753916308838,0.9852851294793851,21
2,0.5895328993473724,0.9941237428125844,17
3,0.6419827882825371,0.9941302553935717,14
4,0.6052209742135713,0.9474120735502191,23
5,0.6811847620530536,0.9661817482915358,19
6,0.7682046356625227,0.9944892015127237,21
7,0.7526739079978618,0.994510376860918,16
8,0.7893857837414844,0.9945097466915249,19
9,0.8109370865035753,0.9945192363392522,13
10,0.7600691348934008,0.9944142616470177,19
11,0.8038067029019466,0.9921954493209537,17
12,0.7821206403521388,0.9921952088786179,21
13,0.783164402682995,0.9924979858117393,17
14,0.7255362024898175,0.9924967925209839,18
15,0.7615750976192921,0.9967958226975611,19
16,0.778367746453056,0.9967958412702899,15
17,0.7809877045529943,0.9967720684323329,17
18,0.7817697790292678,0.9967744178346114,14
19,0.7778177339889746,0.9914497661915226,16
20,0.7948540864622611,0.995924816526042,16
21,0.6928428694169277,0.9959239906899228,20
22,0.7027010750210073,0.991936828413737,21
23,0.6830060480971943,0.9919366157646425,16
24,0.7613426460564634,0.9925426935190548,15
25,0.7815622654644669,0.992675356477633,15
26,0.7727877425462834,0.992675356477633,13
27,0.6993265744175061,0.992675356477633,14
28,0.7043634497917212,0.997232191319882,18
29,0.7493433603675451,0.9972895679875972,18
Run # 2
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.0785189003821367,0.7968175757604461,13
1,0.49381614377584343,0.9375415939015729,14
2,0.5991230067036949,0.9561353189839101,14
3,0.675295081808303,0.9682324658318949,18
4,0.7424099410902677,0.9711251563419611,13
5,0.7332915426385278,0.9718684959992574,15
6,0.7519303640144689,0.9718685050763525,14
7,0.760078103319225,0.9951855966212778,18
8,0.7432801510871054,0.9749990308369599,16
9,0.7626612344866295,0.9734687014813513,14
10,0.7296210529208037,0.9718917517672335,16
11,0.7473388808296632,0.9785212800967237,20
12,0.7676876755583645,0.9978441175324995,16
13,0.7246123426580859,0.9791107739597095,15
14,0.7624482460917532,0.9903454861725607,20
15,0.8230821149397811,0.9978364211721984,16
16,0.7681130661346383,0.9976829512875703,20
17,0.8435819056884811,0.996088464865872,21
18,0.756344443366022,0.996088464865872,15
19,0.683496733434856,0.9928210173199972,18
20,0.7560376416191749,0.9928210173199972,16
21,0.7500601685840366,0.9849863916030449,20
22,0.7065860036549991,0.975817308017239,19
23,0.7379469034533694,0.9758173171275205,17
24,0.7602072234322486,0.9944845309434996,16
25,0.7517171141041327,0.9756680463303032,17
26,0.7665778845494767,0.9757176825563708,17
27,0.7771759446855117,0.9750712414571412,19
28,0.7455630305292336,0.9971625554955345,18
29,0.7967606308732824,0.9948771222606125,18
Run # 3
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.0957352007423818,0.9412962983901866,17
1,0.5551572442791979,0.9897820285050531,19
2,0.7254387351455359,0.9898192345586533,16
3,0.7896899205850676,0.993707276780899,15
4,0.7108572994286405,0.9899040694366639,18
5,0.7267554798150685,0.9897529160150121,12
6,0.6986558115476474,0.987336695375522,12
7,0.7158609887902159,0.9900897821926788,18
8,0.7976712298217749,0.99010861179444,19
9,0.7726497740310879,0.99010861179444,17
10,0.8060184678326385,0.9899029804671515,21
11,0.8312465776350193,0.990217211350695,18
12,0.8553842094307089,0.9902157435929241,15
13,0.7760707524904756,0.9994723262102364,15
14,0.8449815260408892,0.9994723262102364,16
15,0.8257568027266877,0.998967401251986,15
16,0.7982745128654952,0.99918421891004,22
17,0.782148404456757,0.9997752200968788,20
18,0.8136252749017211,0.9991830183866797,18
19,0.8739632806992199,0.9991830183866797,19
20,0.8449448253155069,0.9991830183866797,15
21,0.7967373258146354,0.9911683144575633,20
22,0.8051746967848031,0.9867071898472014,17
23,0.8208040162882735,0.9911398581920253,19
24,0.7495269795217558,0.9866926420049862,15
25,0.766089737467975,0.9874983640671663,21
26,0.7943500977272605,0.9895873170564661,17
27,0.7463247879361264,0.9864430675391718,18
28,0.7557443488571266,0.9978197273182611,18
29,0.7984563630113323,0.9978008401429391,15
Run # 4
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.03996948890628432,0.5016252159601687,19
1,0.21810344659360353,0.9833954931035183,19
2,0.37380319804450396,0.9833949059720204,17
3,0.5005607485244886,0.9838736512971061,22
4,0.5409095199186009,0.9834704008268048,20
5,0.605552174760963,0.9936931268824006,16
6,0.7092283084094443,0.9974748454172047,20
7,0.7015357815570122,0.9974724666530451,21
8,0.7593168603365202,0.993616074236804,25
9,0.6923557171465373,0.9871203978692791,23
10,0.7308586382630503,0.995135440847431,20
11,0.7521338800938989,0.9895871140866401,23
12,0.724704860122071,0.9947100752532418,15
13,0.8257301712778977,0.9992603477711978,21
14,0.7152036670827223,0.9968455430081976,17
15,0.7830960699416275,0.9978910683464001,20
16,0.7411438948179481,0.998043377048897,16
17,0.7659951810669411,0.9991477663879961,19
18,0.6834622774068987,0.998043377048897,20
19,0.7119379760832487,0.9979399918896891,19
20,0.6594654075854206,0.9976354238019155,15
21,0.7396797153709632,0.9976354516821272,18
22,0.7062565740775615,0.994215450529957,19
23,0.7245653401519305,0.9895764859008281,20
24,0.7207789956798105,0.9926333725686,17
25,0.696006400029944,0.9942154968535887,20
26,0.7624753181095985,0.9943485370726174,16
27,0.7212990048874083,0.994215200382379,23
28,0.7658452319320201,0.9992809164887885,18
29,0.774573536951352,0.992064998562664,15
Run # 5
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.0812472170855133,0.8159323928238179,21
1,0.36350284679256745,0.965084222975741,12
2,0.6130462608047936,0.9745843317597814,19
3,0.6327997461847261,0.9850800783899432,15
4,0.6962246680645028,0.9853811946303862,20
5,0.6713495740152798,0.9764071313551373,14
6,0.7334862574589931,0.9764071313551373,19
7,0.7656679199337407,0.9831436151373544,16
8,0.7095234007199326,0.9908392275647319,16
9,0.6301120630567005,0.9908392275647319,11
10,0.7548048445819039,0.9929391293245824,15
11,0.7649105766057381,0.9929391293245824,14
12,0.702925793212875,0.9981994538143655,14
13,0.741884197821675,0.9981994538143655,16
14,0.7996874249011179,0.9981994538143655,16
15,0.7752785512668013,0.9975899614030649,13
16,0.7563347992106847,0.9975899335239974,16
17,0.7167235141245873,0.9975924891080941,17
18,0.7027003787380491,0.9975924891080941,15
19,0.7768664025212249,0.9982016853683823,17
20,0.827184654145422,0.9981127986059456,18
21,0.8111277560942851,0.9953783498591444,18
22,0.7742124148861811,0.995530944106217,17
23,0.8297470797191829,0.9953777562926762,18
24,0.7760520126172145,0.995382504833342,20
25,0.8114339322663423,0.9953635107930061,17
26,0.797434227636216,0.9965797872174569,10
27,0.8215062415913664,0.9978354730735386,16
28,0.833680665998186,0.9978354730735386,14
29,0.7844543521464739,0.9978449912772632,14
Run # 6
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.134867155058934,0.9029877843799643,17
1,0.5709482308530429,0.9209642597093771,17
2,0.6291983742941728,0.9775344328592674,14
3,0.639374628182645,0.9968397852188081,13
4,0.6567273729367962,0.9799459466127148,16
5,0.6745040230516082,0.995210596540244,17
6,0.6962809281289657,0.9955655710534308,15
7,0.6724144240560233,0.9955750697679154,18
8,0.7247905685290064,0.995210550174886,19
9,0.7329262321196092,0.9891037093976522,15
10,0.6843608972146059,0.978770767432589,17
11,0.7257578830900107,0.9855311495747427,18
12,0.6824730795379255,0.9883599335944716,19
13,0.7377426623047556,0.9855294950410061,14
14,0.7709747134202273,0.9855294950410061,16
15,0.6818288437347553,0.9856895184075343,15
16,0.7701134606922853,0.9858305418335319,15
17,0.7753737506071956,0.9878668621217559,17
18,0.7860001539703706,0.9893241243505868,19
19,0.7763183927284846,0.9931774368516203,18
20,0.7251063774515657,0.9899233665243933,15
21,0.7727685341108921,0.989961241850216,19
