Run # 0,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.056698548,0.340814269,15
1,0.35860345,0.850062742,15
2,0.637008989,0.852711359,14
3,0.552050685,0.923082118,11
4,0.756459924,0.923082118,13
5,0.588601661,0.923011129,14
6,0.43693203,0.918354367,13
7,0.423576664,0.957023616,11
8,0.558610866,0.957023616,11
9,0.749589054,0.957051118,10
Run # 1,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.017967963,0.098198825,11
1,0.136044229,0.459070503,10
2,0.180463539,0.459108364,11
3,0.27384319,0.461537353,10
4,0.381112011,0.461537353,12
5,0.453883469,0.887123474,13
6,0.403752554,0.878258893,14
7,0.433344946,0.878827565,11
8,0.50851147,0.880952401,11
9,0.705978109,0.880952401,11
Run # 2,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.018527919,0.129845933,10
1,0.083970721,0.189145127,9
2,0.147443293,0.637570808,12
3,0.188512551,0.637857078,14
4,0.429882778,0.788206334,11
5,0.543242517,0.923810039,12
6,0.691839201,0.923810039,12
7,0.604512282,0.837320467,12
8,0.635557679,0.78822173,9
9,0.596161395,0.892334457,12
Run # 3,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.063795131,0.474124562,13
1,0.278948563,0.492205313,12
2,0.524639174,0.909699597,14
3,0.590702642,0.909638292,13
4,0.749143258,0.909638292,9
5,0.664921936,0.910260269,14
6,0.736705305,0.984036893,12
7,0.689282365,0.984018094,10
8,0.59059573,0.982881351,10
9,0.613316934,0.910759879,11
Run # 4,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.005456798,0.036898253,14
1,0.03294695,0.152063197,11
2,0.18790392,0.853595881,11
3,0.659777728,0.857839797,17
4,0.662346067,0.855715471,11
5,0.600722736,0.859968868,9
6,0.542874403,0.922682868,9
7,0.570601114,0.855707182,9
8,0.66772604,0.85783149,9
9,0.703131474,0.897019339,13
Run # 5,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.031880337,0.281872759,10
1,0.09662421,0.281872759,9
2,0.21686257,0.331724112,10
3,0.219054933,0.467458435,8
4,0.272924077,0.453736664,8
5,0.353313211,0.453137597,12
6,0.282182072,0.477874632,11
7,0.379509118,0.519461728,12
8,0.347544392,0.559294973,10
9,0.448341006,0.91725966,10
Run # 6,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.081506915,0.456135361,11
1,0.187321636,0.456135361,11
2,0.275511856,0.497643896,9
3,0.283247647,0.497643896,13
4,0.396456673,0.497643896,13
5,0.451203792,0.912593895,13
6,0.526590559,0.912593895,11
7,0.549002787,0.918645898,14
8,0.485026025,0.954898982,10
9,0.58222176,0.954898982,10
Run # 7,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.120763977,0.744408622,10
1,0.391550462,0.871772429,11
2,0.571532004,0.873265466,13
3,0.645413471,0.909156743,13
4,0.733875615,0.947995937,9
5,0.647648885,0.947995937,12
6,0.77001475,0.950325346,11
7,0.71190181,0.952075781,12
8,0.617193567,0.952066657,7
9,0.725407263,0.915549329,16
Run # 8,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.054431667,0.380921637,11
1,0.27577112,0.803049144,13
2,0.491065636,0.803080457,10
3,0.54988729,0.940930169,14
4,0.394023718,0.835728673,14
5,0.405421994,0.887457456,14
6,0.463439983,0.885335596,13
7,0.47545485,0.867466512,10
8,0.432179761,0.799135769,13
9,0.584414986,0.83157528,12
Run # 9,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.051315274,0.499535118,12
1,0.224827754,0.500189114,13
2,0.414846578,0.502812812,13
3,0.441145413,0.81659999,12
4,0.341696261,0.502058259,12
5,0.384785191,0.502063388,12
6,0.453165892,0.819505322,9
7,0.384774469,0.819481405,13
8,0.403049894,0.819513294,14
9,0.380361966,0.943669298,12
