Run # 0,,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,,
0,0.054796838,0.606163808,7,,,
1,0.32859529,0.713431662,5,,,
2,0.375460431,0.933705598,5,,,
3,0.426021942,0.971086361,7,,,
4,0.422249197,0.971086361,6,,,
5,0.454947139,0.933705598,7,,,
6,0.400929338,0.961617042,6,,,
7,0.411823679,0.961617042,7,,,
8,0.546621212,0.971086361,7,,,
9,0.668854857,0.98063952,8,,,
Run # 1,,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,,
0,0.064612467,0.796785108,9,,,
1,0.365920073,0.971086361,5,,,
2,0.504128365,0.915505286,6,,,
3,0.496642088,0.915505286,7,,,
4,0.44871501,0.915505286,8,,,
5,0.583322254,0.990277179,8,,,
6,0.521725353,0.98063952,9,,,
7,0.586726264,0.98063952,7,,,
8,0.584980303,0.98063952,8,,,
9,0.551709967,0.990277179,5,,,
Run # 2,,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,,
0,0.110427491,0.862803893,5,,,
1,0.435412972,0.888803096,4,,,
2,0.472016149,0.933705598,8,,,
3,0.427709692,0.87139321,5,,,
4,0.511672457,0.933705598,8,,,
5,0.443618334,0.933705598,7,,,
6,0.498873773,0.942927308,6,,,
7,0.601060641,0.98063952,5,,,
8,0.592074465,0.98063952,7,,,
9,0.52730168,0.942927308,6,,,
Run # 3,,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,,0.98063952
0,0.105040735,0.638009803,6,,,0.990277179
1,0.390892259,0.880059407,7,,,0.942927308
2,0.471451652,0.924565137,4,,,0.98063952
3,0.393374438,0.880059407,5,,,0.990277179
4,0.399776887,0.915505286,7,,,0.952230907
5,0.388921673,0.961617042,5,,,0.933705598
6,0.463935996,0.990277179,7,,,0.98063952
7,0.590128225,0.990277179,7,,,0.971086361
8,0.607647461,0.971086361,7,,,0.971086361
9,0.486729667,0.98063952,9,,,
Run # 4,,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,,
0,0.100833869,0.829203356,5,,,
1,0.366447413,0.845853478,6,,,
2,0.442422386,0.971086361,5,,,
3,0.422983495,0.971086361,8,,,
4,0.540971836,0.990277179,4,,,
5,0.422280428,0.971086361,7,,,
6,0.562917508,0.971086361,9,,,
7,0.502107392,0.990277179,8,,,
8,0.543705883,0.990277179,7,,,
9,0.521798907,0.990277179,6,,,
Run # 5,,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,,
0,0.049005727,0.692104958,3,,,
1,0.379493184,0.713431662,7,,,
2,0.386795122,0.750293598,7,,,
3,0.385116704,0.971086361,6,,,
4,0.507856794,0.971086361,4,,,
5,0.40567159,0.971086361,8,,,
6,0.490270708,0.933705598,8,,,
7,0.532611965,0.933705598,7,,,
8,0.539118788,0.952230907,5,,,
9,0.45933171,0.952230907,8,,,
Run # 6,,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,,
0,0.14569506,0.85429085,7,,,
1,0.32329535,0.880059407,6,,,
2,0.491336856,0.897624891,7,,,
3,0.466838073,0.933705598,6,,,
4,0.476903604,0.924565137,5,,,
5,0.370829021,0.924565137,7,,,
6,0.414600719,0.924565137,6,,,
7,0.524794299,0.98063952,4,,,
8,0.534051493,0.98063952,5,,,
9,0.515210617,0.933705598,7,,,
Run # 7,,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,,
0,0.070592068,0.98063952,9,,,
1,0.332537293,0.98063952,5,,,
2,0.490013895,0.98063952,6,,,
3,0.515833678,0.98063952,8,,,
4,0.61835638,0.98063952,7,,,
5,0.358580621,0.924565137,7,,,
6,0.460810695,0.990277179,7,,,
7,0.520171547,0.98063952,6,,,
8,0.602777974,0.990277179,8,,,
9,0.567616677,0.98063952,8,,,
Run # 8,,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,,
0,0.07464998,0.81284879,8,,,
1,0.393923798,0.829203356,9,,,
2,0.510203094,0.98063952,7,,,
3,0.557466168,0.990277179,9,,,
4,0.549253623,0.990277179,7,,,
5,0.430846388,0.990277179,6,,,
6,0.530212474,0.990277179,5,,,
7,0.508139166,0.990277179,6,,,
8,0.572463551,0.990277179,6,,,
9,0.509348136,0.971086361,8,,,
Run # 9,,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,,
0,0.166859198,0.933705598,7,,,
1,0.404880496,0.924565137,5,,,
2,0.481219054,0.961617042,8,,,
3,0.49077139,0.98063952,5,,,
4,0.524196408,0.990277179,7,,,
5,0.401324851,0.961617042,7,,,
6,0.431582443,0.98063952,7,,,
7,0.434203913,0.98063952,7,,,
8,0.466467941,0.971086361,7,,,
9,0.539931228,0.971086361,8,,,
