Run # 0,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.048748893,0.579355096,21
1,0.368531645,0.69837801,20
2,0.431119412,0.80160672,21
3,0.512698493,0.80160657,16
4,0.529580784,0.801604739,20
5,0.564029575,0.801606943,21
6,0.579175135,0.801637932,23
7,0.515640126,0.80160889,23
8,0.565061781,0.803641059,22
9,0.544124685,0.867899482,22
Run # 1,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.05602442,0.66166347,17
1,0.348204087,0.661953224,18
2,0.530183064,0.911637687,21
3,0.558786533,0.912761354,19
4,0.576165134,0.912831633,15
5,0.598224432,0.988558635,24
6,0.607410557,0.988558639,20
7,0.638646459,0.98855864,19
8,0.647536371,0.988558786,24
9,0.669146238,0.988539763,23
Run # 2,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.092482759,0.840118255,23
1,0.516446345,0.841225826,21
2,0.632437801,0.84541435,18
3,0.656068899,0.844301827,23
4,0.635519709,0.983704984,21
5,0.641078703,0.983855343,21
6,0.700724954,0.984043328,20
7,0.737520893,0.988793369,17
8,0.746500009,0.988788649,20
9,0.735843784,0.983256379,21
Run # 3,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.190613011,0.911244824,19
1,0.560116817,0.943174279,22
2,0.566373264,0.926596344,23
3,0.72764168,0.926596344,28
4,0.765714645,0.928877048,19
5,0.782186899,0.915115927,20
6,0.743232987,0.946045298,22
7,0.758042385,0.91578006,23
8,0.763510015,0.915782254,17
9,0.694370636,0.915186369,17
Run # 4,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.042634075,0.415930736,23
1,0.228112261,0.415931004,22
2,0.338141754,0.415930837,20
3,0.314065041,0.415930734,18
4,0.338758125,0.500582098,23
5,0.319314059,0.424883375,19
6,0.345961447,0.792945796,22
7,0.337841628,0.501885638,20
8,0.378597107,0.913413502,22
9,0.416198045,0.913413502,18
Run # 5,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.163082807,0.98334488,17
1,0.670027925,0.98334488,23
2,0.675453445,0.983382382,21
3,0.687237491,0.993008891,21
4,0.835924117,0.993044467,20
5,0.723870256,0.993009005,19
6,0.790710932,0.993117732,21
7,0.774002823,0.993615456,28
8,0.810319982,0.99482981,19
9,0.757068313,0.994829811,18
Run # 6,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.15788075,0.902992769,16
1,0.579579853,0.90303627,23
2,0.665519773,0.952412794,25
3,0.678756512,0.976997337,21
4,0.754399794,0.976997338,17
5,0.663843727,0.976997338,21
6,0.681815819,0.959427165,18
7,0.800101517,0.976694422,22
8,0.842570917,0.959721217,18
9,0.804981444,0.959721773,26
Run # 7,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.077094158,0.867210826,25
1,0.56387603,0.878577209,17
2,0.671382126,0.91541432,20
3,0.63797565,0.950657962,20
4,0.699972054,0.924475583,30
5,0.651446202,0.977182928,22
6,0.712973583,0.977332389,26
7,0.694759788,0.977186595,22
8,0.714775685,0.977186595,29
9,0.728193469,0.979007963,29
Run # 8,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.113387472,0.94175264,25
1,0.497664805,0.941766326,26
2,0.661044693,0.9429235,26
3,0.752950429,0.961608418,24
4,0.679734972,0.944735572,24
5,0.740775381,0.944731059,25
6,0.752616601,0.944731059,26
7,0.829422828,0.980351736,23
8,0.765971366,0.951134836,21
9,0.789941763,0.951122771,25
Run # 9,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.050392633,0.553381901,23
1,0.295424417,0.553701136,20
2,0.420474639,0.620823707,25
3,0.528683625,0.620823707,21
4,0.538969814,0.620824118,23
5,0.524508351,0.623611688,22
6,0.536198562,0.652299323,20
7,0.485650728,0.645703425,18
8,0.52037441,0.890334192,20
9,0.528098734,0.890412381,20
